AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Nord Ovest;Lombardia;BS;H525;9;22,25;21,5;12,86;9;74,61
Nord Ovest;Lombardia;PV;H527;0;3;2,5;4;2;11,5
Nord Ovest;Lombardia;MI;H529;3;16;9,5;5,5;9,5;43,5
Nord Est;Friuli- Venezia Giulia;UD;H533;0;0,5;1;5;7;13,5
Centro;Lazio;VT;H534;5,5;22,67;15,25;13,25;14,92;71,59
Nord Ovest;Lombardia;BG;H535;4;6,5;1,5;2;2;16
Nord Ovest;Liguria;GE;H536;1;14;10;2;5;32
Nord Ovest;Lombardia;MI;H537;2;9;10,5;6;1,5;29
Nord Ovest;Piemonte;BI;H538;0;1,5;0,5;1,5;3,72;7,22
Nord Ovest;Piemonte;TO;H539;7,67;5;0,5;5;2,33;20,5
Nord Est;Veneto;VR;H540;0;5,5;10,5;4,78;15,79;36,57
Nord Ovest;Lombardia;MN;H541;0;3;7,5;12,17;11,25;33,92
Nord Est;Emilia-Romagna;FO;H542;0;5,5;5;1;5;16,5
Nord Ovest;Lombardia;BG;H544;2;6,75;2;0;2;12,75
Nord Ovest;Liguria;GE;H546;0;0;0;0;1;1
Nord Ovest;Piemonte;TO;H547;0;5;1;5;4;15
Nord Ovest;Piemonte;VC;H549;0;0;2;1;0;3
Nord Ovest;Piemonte;BI;H553;0;0;1;1,33;0;2,33
Nord Ovest;Piemonte;TO;H554;3;0;3;2;3;11
Nord Ovest;Piemonte;TO;H555;4;14,5;1;2;2;23,5
Nord Est;Veneto;VI;H556;1;11,14;20,08;16;19,19;67,41
Sud;Calabria;RC;H558;7;4;7,75;3;5;26,75
Nord Ovest;Lombardia;PV;H559;0;0;2;0;5;7
Nord Ovest;Lombardia;MI;H560;5;20,5;13;4;3;45,5
Nord Ovest;Piemonte;BI;H561;2;1;0;0;1;4
Sud;Abruzzo ;PE;H562;0;3;5;12;6,5;26,5
Sud;Campania;SA;H564;1;1;1;0;1;4
Sud;Calabria;CS;H565;1,86;5,86;3,5;4,54;1;16,76
Sud;Abruzzo ;CH;H566;0;0;0;0,19;0,19;0,38
Sud;Puglia;FG;H568;0;2,92;0;2,96;1;6,88
Nord Ovest;Piemonte;AL;H569;0;0,1;0;2;5;7,1
Centro;Toscana;LI;H570;31,03;142,77;86,67;38,29;34,5;333,26
Sud;Calabria;CS;H572;10,33;11,5;2;1;2,5;27,33
Nord Est;Veneto;RO;H573;47,63;54,33;30,25;17;14,5;163,71
Isole;Sicilia;SR;H574;8,06;6;13,17;6,06;10,61;43,9
Centro;Marche;AN;H575;0;1,5;5;1;1;8,5
Nord Ovest;Piemonte;VC;H577;2;0;0;0;1;3
Nord Ovest;Piemonte;CN;H578;3;2;2,67;2;2;11,67
Sud;Calabria;CS;H579;19,74;58,23;57,23;60,49;39,5;235,19
Nord Est;Veneto;VI;H580;0,5;11,17;10;2,5;21,5;45,67
Nord Ovest;Liguria;GE;H581;1;3,5;4,5;4;3;16
Nord Ovest;Piemonte;TO;H583;2;11;17,5;11;18,5;60
Nord Ovest;Lombardia;BG;H584;0;5;0;1;3,46;9,46
Sud;Calabria;CS;H585;1;0,67;0;2;0;3,67
Centro;Marche;AP;H588;0;0;1;1;2;4
Sud;Molise;CB;H589;0;3;1;0;0;4
Sud;Basilicata;PZ;H590;0;2;2;1;4;9
Sud;Basilicata;MT;H591;3;5;0,8;1;0;9,8
Sud;Campania;AV;H592;1;1;8;3;10,92;23,92
Nord Est;Emilia-Romagna;PC;H593;2,75;21;34,58;31,25;22,83;112,41
Nord Est;Veneto;VI;H594;0;7,75;2;0;1,5;11,25
Nord Ovest;Lombardia;BS;H598;5;25,48;29,5;19,89;24,67;104,54
Nord Ovest;Liguria;GE;H599;1,5;3;2;3,17;2;11,67
Nord Ovest;Lombardia;CO;H601;3;22;20,17;6,33;7,17;58,67
Nord Ovest;Lombardia;CO;H602;0,5;16;11,75;6,5;6,08;40,83
Nord Ovest;Lombardia;MN;H604;0;4;10,5;13,89;17,83;46,22
Nord Est;Veneto;VR;H606;0;0;2,17;2;9,67;13,84
Nord Est;Veneto;VR;H608;2;4,5;2;2;6,67;17,17
Nord Est;Friuli- Venezia Giulia;PN;H609;0;7,5;10,4;8,67;22;48,57
Nord Est;Veneto;VR;H610;0;0,5;3;0;7,5;11
Nord Ovest;Lombardia;PV;H614;0;0;0,67;0;2,83;3,5
Nord Ovest;Lombardia;BG;H615;5,75;12,42;10,5;8;10;46,67
Centro;Lazio;RM;H618;2;1;2;1,5;0;6,5
Nord Est;Veneto;RO;H620;24,04;145,47;130,3;102,35;75,87;478,03
Sud;Calabria;CS;H621;0;3;3;1;3,67;10,67
Nord Est;Veneto;PD;H622;0;10,5;4;11;15,91;41,41
Nord Ovest;Lombardia;MI;H623;29,5;154,33;88;32,67;15,5;320
Nord Est;Veneto;PD;H625;2;26;51,7;38,44;27,5;145,64
Nord Ovest;Piemonte;TO;H627;2;2,02;3;3;3;13,02
Nord Est;Emilia-Romagna;RE;H628;4;40,33;36,08;20,16;22,75;123,32
Nord Ovest;Lombardia;BS;H630;1;9;3;4,83;9,25;27,08
Nord Ovest;Piemonte;TO;H631;0;2;2;2;2;8
Sud;Puglia;LE;H632;3,13;6,91;6,63;5;7;28,67
Nord Ovest;Piemonte;CN;H633;0;0;0;0;1;1
Centro;Toscana;FI;H635;1;19;18,17;9,67;3;50,84
Nord Ovest;Lombardia;PV;H637;1;1;0;1;1;4
Sud;Basilicata;PZ;H641;0;0,8;2,55;2;0,67;6,02
Nord Est;Emilia-Romagna;RA;H642;1;24,66;19,2;11;30,1;85,96
Sud;Puglia;BA;H643;5,14;22,44;31,02;21,66;5,33;85,59
Sud;Campania;SA;H644;0;0;0;0;0;0
Sud;Puglia;BA;H645;23,58;53,72;42,97;38,22;14,97;173,46
Sud;Basilicata;PZ;H646;0,33;5;2,33;0;0;7,66
Centro;Lazio;LT;H647;6,81;49;44,58;21,44;17,5;139,33
Nord Ovest;Piemonte;VC;H648;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;H650;0;3,67;7,5;2,5;4,33;18
Nord Ovest;Lombardia;MN;H652;0;1;1,92;2;9,83;14,75
Sud;Campania;SA;H654;0;0;0;0;0;0
Nord Est;Veneto;PD;H655;0;4;6,75;3,83;4,5;19,08
Nord Est;Friuli- Venezia Giulia;PN;H657;1;22,75;37,93;35,33;47,16;144,17
Centro;Lazio;RM;H658;3;11;12,5;5,04;12,5;44,04
Isole;Sardegna;NU;H659;0;0,86;1,86;0;3,86;6,58
Isole;Sardegna;NU;H661;0;0,5;0;0;2,5;3
Nord Ovest;Piemonte;BI;H662;1;10,75;2;2;7;22,75
Nord Ovest;Valle d'Aosta;AO;H669;2;7,5;1,33;4,5;2;17,33
Nord Ovest;Valle d'Aosta;AO;H670;1;1;2;0;0;4
Nord Ovest;Valle d'Aosta;AO;H671;3;3;1;2;5;14
Nord Ovest;Valle d'Aosta;AO;H672;0;3,67;2;0;1;6,67
Nord Ovest;Valle d'Aosta;AO;H673;0;1;0;0;0;1
Nord Ovest;Valle d'Aosta;AO;H674;3;8,06;8,06;6,42;3;28,54
Nord Ovest;Valle d'Aosta;AO;H675;0;1,5;2;1,67;0;5,17
Nord Ovest;Valle d'Aosta;AO;H676;9;9,5;8;3;4;33,5
Nord Ovest;Piemonte;AL;H677;0;0;1;1;0;2
Nord Est;Emilia-Romagna;BO;H678;1;17,27;18,83;7;22,25;66,35
Nord Ovest;Lombardia;CO;H679;6;3;2;1,8;0;12,8
Nord Ovest;Piemonte;BI;H681;0;0;0;0;3;3
Nord Est;Emilia-Romagna;PR;H682;0;17;15;16;9,45;57,45
Sud;Campania;SA;H683;0,75;3;7,75;7,5;6,5;25,5
Nord Ovest;Piemonte;TO;H684;2;4,33;1;2;1;10,33
Sud;Campania;SA;H686;0;2;2;0;1;5
Sud;Basilicata;MT;H687;0,08;3,5;4,08;1;1;9,66
Isole;Sicilia;TP;H688;0;2,75;1;4;6;13,75
Nord Est;Veneto;RO;H689;0;0;1;0;0;1
Nord Ovest;Piemonte;VC;H690;0;0;4;1;1,5;6,5
Nord Ovest;Piemonte;TO;H691;0;0;0;0;3,17;3,17
Sud;Molise;CB;H693;1;2;2;0,5;0;5,5
Nord Ovest;Piemonte;AL;H694;0;4,17;5;3,17;10;22,34
Nord Ovest;Piemonte;CN;H695;0;0;1;0;2;3
Nord Ovest;Lombardia;BS;H699;4;7,5;4;2,5;8;26
Isole;Sicilia;TP;H700;2,25;4,83;11,67;6;11,34;36,09
Nord Ovest;Lombardia;LO;H701;2;3,5;5,5;2;6,5;19,5
Nord Ovest;Piemonte;TO;H702;1;0;3,5;2;1;7,5
Sud;Campania;SA;H703;47,47;268,14;280,86;256,31;139,89;992,67
Nord Ovest;Piemonte;CN;H704;0;0;0;0;2;2
Nord Est;Veneto;PD;H705;0;1;1;7,14;6,5;15,64
Nord Est;Veneto;TV;H706;1;7,88;10;11;10,5;40,38
Nord Ovest;Piemonte;VC;H707;0;0;0;0;0;0
Sud;Puglia;LE;H708;3;3,92;11;4;5;26,92
Nord Ovest;Piemonte;CN;H710;0;0;0;2;3;5
Nord Est;Veneto;VR;H712;2;0;3,5;1;1,5;8
Centro;Lazio;RI;H713;0;1,5;1;0;0;2,5
Nord Est;Veneto;VR;H714;3;8;6,5;3,5;6;27
Sud;Abruzzo ;PE;H715;1;0;0;0;2,8;3,8
Nord Ovest;Piemonte;CN;H716;0;1;0;0;2;3
Nord Ovest;Lombardia;BS;H717;6;21;29;23,54;14,75;94,29
Nord Est;Emilia-Romagna;PR;H720;13;49,89;76,42;38,71;26,17;204,19
Centro;Marche;PS;H721;1;13;9,75;9,5;10,36;43,61
Nord Ovest;Lombardia;VA;H723;0;6;4;2,01;6;18,01
Nord Est;Emilia-Romagna;RN;H724;6;9,5;4;4,5;3;27
Nord Ovest;Piemonte;VC;H725;1;7;3,17;4,5;11,33;27
Nord Ovest;Piemonte;BI;H726;0;2;1;0;3;6
Nord Ovest;Piemonte;CN;H727;10;59,2;38,17;18,81;27,34;153,52
Sud;Puglia;LE;H729;14,06;28,25;16;2,5;11,5;72,31
Sud;Basilicata;PZ;H730;2;1;1;0;0,5;4,5
Nord Ovest;Lombardia;CR;H731;0;2;1;1;6;10
Sud;Campania;SA;H732;0;0;0;0;0;0
Sud;Campania;AV;H733;0;2;1;3;2;8
Nord Ovest;Piemonte;TO;H734;0;0;0;0;0;0
Nord Est;Veneto;VE;H735;4,75;32,61;26;13,4;14;90,76
Nord Ovest;Lombardia;VA;H736;4;14,5;28,33;29;28,47;104,3
Isole;Sardegna;CA;H738;1,83;1;4;3;7,7;17,53
Isole;Sardegna;CA;H739;0;0;1;0;2,87;3,87
Isole;Sicilia;AG;H743;2;4,88;11,14;7,5;5,67;31,19
Centro;Toscana;PT;H744;0;4;5;6;5,5;20,5
Centro;Lazio;RM;H745;0;0;2;0;0;2
Nord Ovest;Piemonte;CN;H746;0;0;1;0;0;1
Sud;Puglia;BA;H749;2,66;5;6,67;11,5;5;30,83
Nord Ovest;Lombardia;SO;H752;3;2,5;1;4;2,5;13
Nord Ovest;Piemonte;TO;H753;0;2;4;2,5;7;15,5
Nord Ovest;Piemonte;CN;H755;10;13,16;6,63;4;5;38,79
Isole;Sardegna;OR;H756;0;0;0;0;4;4
Sud;Puglia;LE;H757;0;1;1;2;4;8
Nord Ovest;Lombardia;CO;H760;0;0;2;0;1;3
Nord Ovest;Liguria;IM;H763;15;45,63;5;0;1;66,63
Sud;Campania;BN;H764;2;6;4;3;3;18
Sud;Calabria;CS;H765;2;0;0;1;0;3
Isole;Sardegna;CA;H766;1;1;1;1;2;6
Nord Ovest;Lombardia;CR;H767;0;1,58;3;1,26;0,5;6,34
Nord Est;Veneto;RO;H768;0;0;0;0,5;3;3,5
Centro;Marche;AP;H769;33;156,78;102,65;76,78;24,52;393,73
Nord Ovest;Piemonte;CN;H770;0;0;0;0;0;0
Nord Ovest;Lombardia;MN;H771;0;6;7,56;5;13,44;32
Sud;Abruzzo ;AQ;H772;0;0;3,8;2,75;2,5;9,05
Sud;Abruzzo ;AQ;H773;0;0;0;0;0;0
Sud;Calabria;CS;H774;0;0;0;1;0;1
Nord Ovest;Piemonte;TO;H775;0;16;18;13,5;12;59,5
Nord Ovest;Piemonte;VB;H777;5;5;5,5;0;0;15,5
Isole;Sicilia;AG;H778;7;2,83;3;3;4;19,83
Centro;Lazio;FR;H779;1;2;0;0;0;3
Nord Ovest;Liguria;IM;H780;0;1;1;0;0;2
Nord Est;Veneto;TV;H781;3;23;23,85;14,12;18;81,97
Sud;Molise;CB;H782;0;0;1;0;0;1
Nord Est;Veneto;VR;H783;7;35,63;34;22,45;48,33;147,41
Sud;Abruzzo ;CH;H784;2;0;1;2;2;7
Sud;Calabria;VV;H785;1;3;1,5;2;1;8,5
Nord Ovest;Piemonte;TO;H789;0;1;3;6,5;11,25;21,75
Centro;Toscana;SI;H790;0;2;1;3;1;7
Centro;Toscana;FI;H791;3,45;21,11;31,33;32,99;28,96;117,84
Isole;Sicilia;CL;H792;14,25;34,69;41,15;39,67;18,99;148,75
Sud;Puglia;LE;H793;1;6;19;8,75;10,04;44,79
Nord Est;Emilia-Romagna;MO;H794;2;26,5;7;6;8,33;49,83
Sud;Basilicata;PZ;H795;0;1,9;4;0;0;5,9
Sud;Basilicata;PZ;H796;2;2;2,5;1;2;9,5
Isole;Sicilia;PA;H797;1;2;7,5;3;5;18,5
Sud;Campania;CE;H798;5;7;5;5;16,41;38,41
Nord Ovest;Lombardia;PV;H799;0;0;1;1;1;3
Sud;Campania;SA;H800;2;12;9;15,5;5,83;44,33
Nord Est;Emilia-Romagna;RN;H801;0;11,5;8,67;1,17;3,5;24,84
Nord Ovest;Liguria;GE;H802;0;7;6;3;8,5;24,5
Nord Ovest;Lombardia;MI;H803;5,5;21;10;10;13,42;59,92
Nord Ovest;Piemonte;TO;H804;0;0;1;0;2;3
Isole;Sicilia;CT;H805;1;5,5;5,66;3,5;2;17,66
Sud;Calabria;CS;H806;0;1;0;0;0;1
Sud;Calabria;VV;H807;0;1;1;0,8;3;5,8
Sud;Basilicata;PZ;H808;1;0,33;1;1;0;3,33
Centro;Marche;PS;H809;2;8;3;2,8;4;19,8
Nord Ovest;Piemonte;AL;H810;0;1;2;0;0;3
Nord Ovest;Piemonte;AT;H811;2;4,5;5,5;8;24,27;44,27
Nord Ovest;Piemonte;CN;H812;1;3;0;1;0;5
Nord Ovest;Lombardia;PV;H814;0;0;0;0;1;1
Nord Ovest;Lombardia;CR;H815;0;1;1;2,1;6,1;10,2
Nord Est;Friuli- Venezia Giulia;UD;H816;0;21,75;8,5;11,84;18,17;60,26
Sud;Calabria;CS;H818;0;1;2;2;2;7
Sud;Abruzzo ;AQ;H819;0;1;3;2;1;7
Nord Ovest;Piemonte;TO;H820;1;1;0;0;1;3
Nord Ovest;Piemonte;BI;H821;0;2;2;3;3,5;10,5
Sud;Puglia;BR;H822;0;3;3,33;2,83;4,5;13,66
Nord Est;Veneto;VE;H823;10,14;125;98,17;59,24;61,5;354,05
Centro;Lazio;FR;H824;3,5;4;1;2;1,19;11,69
Sud;Calabria;CS;H825;2;2;1;1;0;6
Sud;Puglia;LE;H826;1;3;4,75;1;3;12,75
Nord Ovest;Lombardia;MI;H827;17;160,28;135,25;75;36,75;424,28
Nord Est;Veneto;VI;H829;4;9;15,5;13;11,51;53,01
Nord Ovest;Lombardia;CO;H830;0,13;7;5,63;3;2,74;18,5
Sud;Basilicata;PZ;H831;4;5;5;1;1;16
Sud;Molise;CB;H833;0;0;0;0;1;1
Sud;Campania;CE;H834;8;12,33;13;10,78;21,95;66,06
Nord Est;Emilia-Romagna;MO;H835;1;8,83;17,5;13,25;15,68;56,26
Centro;Lazio;LT;H836;7;18,21;18,23;12;13,17;68,61
Nord Ovest;Lombardia;BS;H838;3,5;17,49;16;12;8,67;57,66
Sud;Puglia;FG;H839;6;12,33;23,04;6,5;7;54,87
Nord Ovest;Lombardia;CO;H840;10;26,08;32,22;10;8,5;86,8
Sud;Calabria;CS;H841;0;1;7,8;2;3;13,8
Isole;Sicilia;ME;H842;0;5;6;8,5;3;22,5
Nord Est;Veneto;TV;H843;1;12,01;10;5,67;14,67;43,35
Nord Ovest;Lombardia;LO;H844;0;0,5;3;2;4;9,5
Sud;Calabria;CZ;H846;3;0;0;0;1;4
Nord Ovest;Piemonte;TO;H847;1;6,17;7;3,89;7;25,06
Isole;Sardegna;SS;H848;9,42;13;2,14;2;2;28,56
Isole;Sicilia;ME;H850;3;1,67;4;3;2;13,67
Nord Ovest;Piemonte;CN;H851;1;4;5;7;7,5;24,5
Nord Ovest;Piemonte;CN;H852;0,39;3,57;2;6;3;14,96
Nord Ovest;Piemonte;TO;H855;4;2,56;3;4,33;12,99;26,88
Isole;Sardegna;CA;H856;3,33;1;1,83;4;13,87;24,03
Centro;Umbria;TR;H857;0;12;8,83;3;5,33;29,16
Nord Ovest;Lombardia;PV;H859;2;13;15,5;5,5;7;43
Sud;Campania;NA;H860;2;4;2;5,5;13,58;27,08
Nord Ovest;Piemonte;VC;H861;1;2;1;1;2;7
Nord Ovest;Piemonte;TO;H862;1;10;6;2;3;22
Nord Est;Veneto;VI;H863;0,25;1,33;0;0;3,5;5,08
Nord Ovest;Lombardia;BS;H865;0;5;9,51;5;5;24,51
Sud;Molise;CB;H867;1;1,5;2;0;2,5;7
Nord Ovest;Lombardia;SO;H868;0;4,86;1;1;0;6,86
Nord Ovest;Lombardia;MN;H870;0;0;1,67;1;2,5;5,17
Nord Ovest;Lombardia;VA;H872;0;0;4;2;2;8
Nord Ovest;Piemonte;TO;H873;0;5;6,5;9;9;29,5
Centro;Toscana;SI;H875;3,18;19;27;8;8,52;65,7
Centro;Marche;MC;H876;1;1;3;3;6;14
Sud;Calabria;CS;H877;1;9;8;4;1;23
Nord Ovest;Piemonte;AL;H878;1;1,1;0;2;10;14,1
Centro;Lazio;FR;H880;0;1;4;1;2,5;8,5
Sud;Calabria;CS;H881;0;0;1;1;1;3
Sud;Puglia;TA;H882;0;4;22,5;37,58;8,5;72,58
Nord Ovest;Lombardia;MN;H883;4;22,5;24,5;18;17,25;86,25
Nord Ovest;Lombardia;MI;H884;1;23;13,65;8;11,87;57,52
Nord Ovest;Lombardia;PV;H885;1;1;1;1;2;6
Centro;Marche;PS;H886;0;0,5;0;0;0;0,5
Nord Est;Emilia-Romagna;PC;H887;0;6,5;11;5,5;3,17;26,17
Sud;Basilicata;MT;H888;0;1;0;0;0,17;1,17
Sud;Calabria;RC;H889;1;1,33;0;1;0;3,33
Nord Ovest;Piemonte;TO;H890;0;2;4,75;8,72;4,22;19,69
Nord Est;Friuli- Venezia Giulia;PN;H891;0;2;1;4;14,69;21,69
Sud;Campania;NA;H892;18;67,31;111,02;87,71;23,83;307,87
Nord Est;Veneto;PD;H893;0;15,52;11,5;10,02;11,93;48,97
Sud;Campania;BN;H894;2;6,04;21,63;29,75;16,63;76,05
Nord Est;Friuli- Venezia Giulia;UD;H895;2;14;20,08;15;20,15;71,23
Nord Est;Emilia-Romagna;BO;H896;2;24,17;26,57;9,33;22,17;84,24
Nord Est;Veneto;PD;H897;0;7;4;6,5;11,17;28,67
Sud;Campania;BN;H898;3;3;0;3;1,13;10,13
Nord Ovest;Piemonte;AT;H899;0;0;0;0;2;2
Nord Ovest;Piemonte;TO;H900;1;2,5;1;1;1;6,5
Centro;Toscana;AR;H901;4,06;27,57;44,24;25,88;22;123,75
Sud;Calabria;RC;H903;2;1;1;0;0;4
Nord Est;Friuli- Venezia Giulia;UD;H906;0;4;8,59;5,5;5,5;23,59
Sud;Campania;SA;H907;7;5;5;1;0;18
Nord Ovest;Lombardia;BG;H910;2,81;3;9,73;10,57;6,57;32,68
Centro;Toscana;SI;H911;0;0;2;2;4,5;8,5
Nord Ovest;Lombardia;MN;H912;0;1;0;1;1,44;3,44
Centro;Lazio;VT;H913;3,5;3,5;1,5;0;1;9,5
Isole;Sicilia;AG;H914;2;9;8,39;7,5;3,22;30,11
Nord Est;Veneto;VR;H916;0,48;2,93;1;4;3,19;11,6
Centro;Lazio;FR;H917;0;2;1;1;2;6
Nord Ovest;Lombardia;CR;H918;0;3;2;7;8,17;20,17
Sud;Calabria;CS;H919;11,08;14,85;12,67;15,5;8,16;62,26
Sud;Molise;CB;H920;0,67;0;0;0;0;0,67
Nord Est;Emilia-Romagna;RN;H921;0;19;10;5;9,39;43,39
Isole;Sicilia;CT;H922;3;21,77;28,5;47,49;41,39;142,15
Sud;Abruzzo ;CH;H923;2;0,67;0;0;0;2,67
Nord Est;Veneto;VR;H924;3,95;53,83;58,5;37,57;43,19;197,04
Sud;Puglia;FG;H926;9,34;28,37;32,17;23,7;19,67;113,25
Sud;Molise;CB;H928;0;0;1;1;2;4
Sud;Molise;CB;H929;0;1;0;2,5;2;5,5
Nord Ovest;Lombardia;MI;H930;36,11;187,28;100,72;31,67;16;371,78
Sud;Campania;NA;H931;4,84;9,03;12,52;11,02;13,86;51,27
Isole;Sicilia;PA;H933;5;4,27;2,27;6,78;4;22,32
Centro;Umbria;PG;H935;4;2;14,83;16,33;8,9;46,06
Nord Ovest;Piemonte;TO;H936;0;1;5;1;7,5;14,5
Centro;Toscana;FI;H937;0;2;6;1;4;13
Nord Est;Veneto;BL;H938;0;1;3,07;3,17;2;9,24
Sud;Campania;CE;H939;1;0;0;1;0;2
Isole;Sicilia;CT;H940;1;6;16,67;22,12;14,25;60,04
Sud;Calabria;VV;H941;10,6;1;2,3;0,5;3;17,4
Centro;Lazio;RM;H942;2;6,75;1;1;1;11,75
Sud;Campania;SA;H943;6;3;0;1;2;12
Nord Est;Veneto;VR;H944;1;3;2,5;4;9,5;20
Nord Est;Emilia-Romagna;BO;H945;19;126,68;142,09;43;47,7;378,47
Centro;Marche;PS;H949;4,01;2;4,33;2;6;18,34
Nord Est;Friuli- Venezia Giulia;UD;H951;0;0,5;0,5;1;2,5;4,5
Sud;Campania;BN;H953;2;3;3;2,83;0,44;11,27
Sud;Campania;BN;H955;0,5;1;1,24;1;2;5,74
Nord Ovest;Liguria;IM;H957;8;4,25;2,25;3;2;19,5
Centro;Marche;PS;H958;0;1,5;1,5;4,5;3;10,5
Sud;Calabria;RC;H959;1;6;1;0;1;9
Sud;Calabria;CS;H961;0;0;0;0;2;2
Sud;Calabria;CS;H962;1;1;0;2;2,75;6,75
Sud;Campania;BN;H967;1;0;1;1;0,75;3,75
Centro;Lazio;VT;H969;0;0;1;0,5;2;3,5
Sud;Calabria;RC;H970;2;0;2;6;1;11
Sud;Calabria;CS;H971;9;9,39;8,89;3;1;31,28
Sud;Campania;BN;H973;0,33;0;1;0;0;1,33
Isole;Sardegna;CA;H974;0;2,25;6,88;7;6,97;23,1
Sud;Campania;AV;H975;0;4;1;1;0;6
Sud;Calabria;CZ;H976;0;2;1;1;1,33;5,33
Sud;Campania;SA;H977;0;2;2;3;3;10
Sud;Campania;CE;H978;2,89;4,8;4,8;6,86;4,2;23,55
Centro;Marche;AN;H979;0;2,65;1,78;1,5;3,5;9,43
Centro;Toscana;PT;H980;3,5;14;12,5;5,8;8,66;44,46
Sud;Calabria;CS;H981;2;1;3;0;1,25;7,25
Isole;Sicilia;ME;H982;0;2;0;1;5;8
Sud;Campania;BN;H984;2;1,5;0,5;0;2,53;6,53
Sud;Puglia;FG;H985;30;20,16;25,11;9,75;5;90,02
Sud;Puglia;FG;H986;0;1;2;1;1;5
Nord Ovest;Piemonte;AT;H987;0;0;1;0;2;3
Sud;Molise;CB;H990;6;5,5;4,67;8;1;25,17
Sud;Abruzzo ;CH;H991;2;1;1,33;1;0;5,33
Sud;Calabria;CS;H992;1;3;0;0;1;5
Sud;Basilicata;PZ;H994;0;1;1;0;1;3
Nord Est;Veneto;RO;H996;1;3;2;2;5;13
Nord Ovest;Piemonte;TO;H997;0;0;0;0;5;5
Nord Est;Friuli- Venezia Giulia;PN;H999;0;1;0;0;4;5
Sud;Campania;BN;I002;0;1;0;0;2;3
Nord Est;Veneto;VR;I003;6;35,08;45,26;30,33;35,75;152,42
Nord Ovest;Lombardia;MN;I005;0;0;3,5;0;8,92;12,42
Nord Ovest;Lombardia;CR;I007;0;0;0;1;1,5;2,5
Nord Est;Veneto;PD;I008;1;10;19,75;9;24,33;64,08
Nord Est;Emilia-Romagna;RE;I011;0;11,5;21,5;11,5;16;60,5
Nord Ovest;Lombardia;LO;I012;1;16;17;9,5;5;48,5
Nord Ovest;Lombardia;PV;I014;2;26,25;18,75;6;7;60
Sud;Campania;AV;I016;3,88;2;10,75;9,27;8;33,9
Nord Ovest;Piemonte;AT;I017;0;1;0,67;0;6,25;7,92
Sud;Puglia;TA;I018;0;3;5;5,98;6;19,98
Sud;Campania;SA;I019;7;5,67;12;6;5;35,67
Sud;Molise;CB;I023;7;7,5;3;1,5;2;21
Nord Ovest;Piemonte;TO;I024;4,17;29,5;20;15,67;21,25;90,59
Nord Ovest;Piemonte;NO;I025;0;0;3;2;4,5;9,5
Sud;Calabria;KR;I026;4;1;2,75;0;0;7,75
Nord Est;Emilia-Romagna;FO;I027;6;27,7;23,36;14;13;84,06
Isole;Sicilia;PA;I028;2;1;0,67;3;1;7,67
Sud;Basilicata;MT;I029;1,08;5,03;2;0;0;8,11
Nord Ovest;Piemonte;TO;I030;2;38;63,78;24,5;27,86;156,14
Sud;Campania;SA;I031;0;2;0;0;2;4
Sud;Campania;SA;I032;1;1;0,96;0;0;2,96
Sud;Campania;AV;I034;0;0;2;2;2;6
Isole;Sicilia;CT;I035;4,5;8;6,89;2,83;4,83;27,05
Nord Ovest;Piemonte;CN;I037;0;1;0;0;3;4
Nord Est;Veneto;VE;I040;130,17;132,6;28,75;17;27,37;335,89
Sud;Puglia;BR;I045;2;12,67;5;7;2,17;28,84
Centro;Toscana;PI;I046;2;36,33;32,72;29,48;41;141,53
Nord Est;Veneto;VI;I047;0;3;2,5;1;4;10,5
Nord Ovest;Lombardia;PV;I048;2;7,67;10,09;1;5,33;26,09
Sud;Campania;BN;I049;0;0,42;1,84;0;0;2,26
Nord Ovest;Lombardia;CO;I051;0;0;1,83;0;1;2,83
Nord Ovest;Piemonte;NO;I052;0;1;1;1;0,22;3,22
Sud;Puglia;BA;I053;4;18;16,5;10;12,41;60,91
Sud;Puglia;FG;I054;12,12;23,09;17,96;16,64;13,46;83,27
Sud;Campania;CE;I056;6;13;28,94;42,33;27,5;117,77
Sud;Calabria;KR;I057;0;2;0;0;1;3
Sud;Calabria;VV;I058;4;0,25;0;0;0;4,25
Sud;Puglia;LE;I059;7,67;27;8,5;9,75;8;60,92
Sud;Calabria;CS;I060;8,17;31,5;10,07;3;1,5;54,24
Sud;Campania;AV;I061;0;1;2;1;1;5
Sud;Campania;BN;I062;0;1;3,5;5;8;17,5
Nord Est;Veneto;BL;I063;1;0;0;0,5;0,67;2,17
Sud;Puglia;BR;I066;6,5;5,78;6,3;5,67;7,22;31,47
Centro;Marche;AN;I071;1;0;0;0;0;1
Sud;Puglia;FG;I072;6,17;12,34;11;9;4;42,51
Sud;Campania;NA;I073;0;2;3,5;1;2,5;9
Nord Ovest;Piemonte;BI;I074;1;1;0;0;2;4
Nord Ovest;Piemonte;AT;I076;0;0;0;0;3;3
Nord Ovest;Lombardia;BG;I079;2,67;13,65;7,09;5,63;4,5;33,54
Isole;Sicilia;ME;I084;0;1;5,88;2;2;10,88
Isole;Sicilia;ME;I086;0;5;2;1;2;10
Nord Est;Veneto;BL;I088;1,22;6,11;0,65;0;4,07;12,05
