AREA;REGIONE;PROVINCIA;2021_CodCom;NTN_2021_Depositi_Pert;NTN_2021_Box
Centro;Umbria;TR;L117;290,88;837,6
Nord Ovest;Lombardia;BG;L118;16,5;123,08
Centro;Lazio;LT;L120;79,18;156,39
Isole;Sardegna;OR;L122;0,75;3,5
Centro;Toscana;AR;L123;22,5;79,97
Sud;Calabria;CS;L124;3;1
Nord Ovest;Lombardia;LO;L125;1;7,5
Sud;Basilicata;PZ;L126;3;0
Sud;Calabria;RC;L127;0;0
Isole;Sicilia;PA;L131;11,5;54
Nord Est;Veneto;PD;L132;2;28,83
Sud;Calabria;CS;L134;0;0
Nord Est;Veneto;VR;L136;2;18,94
Centro;Toscana;PI;L138;13;27,5
Nord Ovest;Piemonte;AL;L139;2;9
Isole;Sardegna;NU;L140;1;2
Sud;Campania;NA;L142;13;7
Nord Ovest;Piemonte;AL;L143;1;4
Nord Ovest;Liguria;IM;L146;4;0
Centro;Lazio;VT;L150;5;1
Nord Ovest;Liguria;SV;L152;1;2
Isole;Sardegna;NU;L153;1;0
Isole;Sardegna;CA;L154;0;1
Sud;Campania;CE;L155;18;109
Nord Est;Veneto;VI;L156;7,5;106,67
Nord Est;Veneto;VI;L157;25,5;272,68
Isole;Sardegna;SS;L158;1;4
Isole;Sardegna;NU;L160;0;0
Nord Ovest;Lombardia;CR;L164;0;6
Nord Ovest;Piemonte;AL;L165;0;3
Sud;Puglia;LE;L166;4;0
Nord Ovest;Liguria;GE;L167;0;1
Nord Ovest;Piemonte;AT;L168;6;10,18
Nord Ovest;Lombardia;BS;L169;8,25;31
Isole;Sardegna;NU;L172;0;0,5
Sud;Abruzzo;AQ;L173;1;0
Nord Ovest;Lombardia;SO;L175;40,21;63,61
Sud;Calabria;CZ;L177;4,66;0
Isole;Sardegna;SS;L180;0;2
Sud;Basilicata;PZ;L181;14,25;18
Centro;Lazio;RM;L182;104,7;253,7
Nord Est;Emilia-Romagna;PR;L183;8;31
Nord Est;Emilia-Romagna;RE;L184;19,33;34,16
Sud;Campania;BN;L185;0;0
Sud;Abruzzo;PE;L186;2;3,97
Nord Ovest;Piemonte;VB;L187;5;10
Centro;Umbria;PG;L188;61,49;93,44
Centro;Lazio;RI;L189;3;2
Nord Ovest;Liguria;SV;L190;13,5;37,25
Centro;Marche;MC;L191;42,56;95,75
Centro;Lazio;RM;L192;13;11,08
Nord Ovest;Piemonte;BI;L193;4,67;16,67
Sud;Abruzzo;CH;L194;2;3
Nord Est;Friuli- Venezia Giulia;UD;L195;24,14;80,3
Sud;Basilicata;PZ;L197;1,63;7
Nord Est;Veneto;PD;L199;4;63,43
Isole;Sardegna;NU;L202;2;1,67
Nord Ovest;Piemonte;AT;L203;1;1
Nord Ovest;Piemonte;AT;L204;0;1
Sud;Campania;CE;L205;1;1
Sud;Calabria;CS;L206;1;2
Sud;Abruzzo;TE;L207;0;1,67
Nord Ovest;Lombardia;BS;L210;9;104,12
Sud;Campania;SA;L212;1;4
Sud;Puglia;BR;L213;0;9,5
Sud;Campania;AV;L214;3;5
Sud;Molise;CB;L215;4;1
Centro;Umbria;PG;L216;15,67;50,17
Nord Ovest;Valle d'Aosta;AO;L217;12,12;23,83
Sud;Abruzzo;CH;L218;7;15,96
Nord Ovest;Piemonte;TO;L219;5752,2;6108,77
Sud;Puglia;BA;L220;12;24,42
Nord Ovest;Lombardia;CR;L221;0;7
Nord Ovest;Piemonte;NO;L223;0;5
Sud;Abruzzo;CH;L224;3;4
Nord Ovest;Lombardia;CR;L225;0;0,67
Sud;Abruzzo;AQ;L227;1,5;4
Nord Ovest;Lombardia;CO;L228;15;22,8
Nord Est;Emilia-Romagna;PR;L229;1;7,25
Sud;Molise;CB;L230;2,5;2,5
Isole;Sardegna;NU;L231;1;1
Sud;Campania;SA;L233;1,64;1,64
Isole;Sardegna;SS;L235;0;3
Nord Ovest;Lombardia;PV;L237;2;11
Nord Ovest;Piemonte;TO;L238;4;34,5
Nord Ovest;Piemonte;BI;L239;0;3
Sud;Calabria;CZ;L240;0;0
Nord Ovest;Piemonte;CN;L241;0;4
Centro;Lazio;FR;L243;3;2
Nord Ovest;Lombardia;SO;L244;10,99;6,5
Sud;Campania;NA;L245;28,18;47,37
Nord Est;Friuli- Venezia Giulia;UD;L246;1;6
Nord Ovest;Piemonte;TO;L247;0,9;2,9
Nord Est;Veneto;VI;L248;10,76;53,18
Nord Ovest;Lombardia;PV;L250;0;5
Nord Ovest;Lombardia;BG;L251;31,12;158,86
Nord Ovest;Piemonte;CN;L252;0;1
Sud;Abruzzo;CH;L253;1;3
Sud;Campania;BN;L254;2;0
Nord Ovest;Lombardia;PV;L256;1;17,5
Nord Ovest;Lombardia;BG;L257;3;31,59
Nord Ovest;Lombardia;CR;L258;4;15,17
Sud;Campania;NA;L259;72,5;104,08
Nord Ovest;Lombardia;PV;L262;0;2
Sud;Abruzzo;PE;L263;0,17;3,3
Nord Ovest;Lombardia;BG;L265;4;52,72
Nord Est;Veneto;VE;L267;7,17;44,67
Nord Ovest;Lombardia;PV;L269;0;40
Nord Est;Veneto;PD;L270;3,67;41,72
Isole;Sicilia;ME;L271;2,5;10
Sud;Campania;AV;L272;2,67;2
Sud;Puglia;FG;L273;12,05;45,75
Sud;Campania;SA;L274;2;1
Nord Ovest;Lombardia;BG;L276;1;10,67
Nord Ovest;Piemonte;TO;L277;17,5;60,5
Nord Ovest;Piemonte;CN;L278;3,5;12,5
Centro;Marche;AP;L279;0;0
Sud;Puglia;BR;L280;1;10
Nord Ovest;Piemonte;CN;L281;0;1
Isole;Sicilia;PA;L282;5;2
Sud;Abruzzo;CH;L284;4;4
Nord Ovest;Lombardia;PV;L285;6;52
Centro;Lazio;RI;L286;5,52;11,66
Nord Est;Veneto;VR;L287;26,53;113,05
Centro;Lazio;FR;L290;6;2
Sud;Abruzzo;CH;L291;1;5
Nord Ovest;Lombardia;PV;L292;0;4
Centro;Lazio;RI;L293;3;0
Sud;Puglia;TA;L294;4,67;8
Sud;Abruzzo;TE;L295;5;2
Nord Ovest;Lombardia;CR;L296;0;2,5
Nord Est;Veneto;VI;L297;9;198,83
Nord Ovest;Liguria;GE;L298;18,75;16,5
Nord Est;Emilia-Romagna;PR;L299;23,67;111,17
Sud;Campania;AV;L301;1;0
Centro;Lazio;RM;L302;4;2
Centro;Toscana;SI;L303;14;37,34
Nord Ovest;Piemonte;AL;L304;67,14;254,24
Sud;Calabria;CS;L305;6;18
Sud;Campania;SA;L306;1,25;1
Sud;Abruzzo;TE;L307;147,16;389,54
Isole;Sicilia;ME;L308;6,5;2
Nord Est;Friuli- Venezia Giulia;UD;L309;6;25,67
Centro;Lazio;VT;L310;27,75;12,5
Nord Ovest;Lombardia;BS;L312;20,15;218,95
Sud;Abruzzo;TE;L314;2,5;0
Nord Ovest;Liguria;SV;L315;3;31,92
Nord Ovest;Lombardia;SO;L316;3;2
Isole;Sicilia;PA;L317;13,65;7
Nord Ovest;Lombardia;VA;L319;68,06;281,19
Isole;Sardegna;OR;L321;1;0,97
Sud;Campania;SA;L323;10,5;2
Nord Est;Friuli- Venezia Giulia;PN;L324;3;0
Nord Est;Friuli- Venezia Giulia;PN;L325;0;1
Sud;Basilicata;PZ;L326;8;4,5
Nord Ovest;Piemonte;TO;L327;8,54;33,58
Sud;Puglia;BA;L328;96,2;298,33
Nord Ovest;Lombardia;SO;L330;5,2;12
Isole;Sicilia;TP;L331;41,67;175,28
Isole;Sicilia;PA;L332;1;0
Nord Ovest;Piemonte;VB;L333;8;5
Sud;Abruzzo;AQ;L334;13,17;10,5
Nord Est;Friuli- Venezia Giulia;UD;L335;1;8
Nord Ovest;Piemonte;VB;L336;5,5;1
Isole;Sardegna;CA;L337;0;0
Nord Ovest;Lombardia;BS;L339;12;142,89
Nord Ovest;Piemonte;TO;L340;3,25;6
Nord Ovest;Lombardia;VA;L342;5,07;44,22
Nord Ovest;Piemonte;TO;L345;0;0
Nord Est;Emilia-Romagna;PR;L346;21;114,87
Nord Est;Friuli- Venezia Giulia;PN;L347;3,17;8
Nord Est;Emilia-Romagna;PC;L348;13,42;37,5
Nord Est;Veneto;PD;L349;10;89,67
Sud;Calabria;CS;L353;10,33;8
Isole;Sicilia;CT;L355;8,83;38,5
Nord Ovest;Piemonte;NO;L356;38,08;317,87
Sud;Basilicata;PZ;L357;0;1
Nord Est;Veneto;RO;L359;4;12,66
Nord Est;Emilia-Romagna;FO;L361;2;8
