AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Lombardia;CO;E735;1;9,3;5;1;2;18,3
Nord Ovest;Lombardia;CO;E749;3;6;7,83;4;7;27,83
Nord Ovest;Lombardia;CO;E750;0;3,5;9;3,5;9;25
Nord Ovest;Lombardia;CO;E753;5;32,5;14;16;16,33;83,83
Nord Ovest;Lombardia;CO;E830;0;3,5;3;2;3;11,5
Nord Ovest;Lombardia;CO;E951;6;55,74;67;30,49;21,57;180,8
Nord Ovest;Lombardia;CO;F017;0;7;4,75;1;0,5;13,25
Nord Ovest;Lombardia;CO;F120;4;9,5;4,5;7;14,41;39,41
Nord Ovest;Lombardia;CO;F151;2;11;5,5;3;2;23,5
Nord Ovest;Lombardia;CO;F305;2;3;6;6;3,5;20,5
Nord Ovest;Lombardia;CO;F372;1;2,5;3;1;0,4;7,9
Nord Ovest;Lombardia;CO;F427;5;13,5;18;12,5;1,5;50,5
Nord Ovest;Lombardia;CO;F564;2;1;0;0;0;3
Nord Ovest;Lombardia;CO;F688;0;5,17;5;1;2,89;14,06
Nord Ovest;Lombardia;CO;F788;1;16,17;33,5;22,17;14,5;87,34
Nord Ovest;Lombardia;CO;F828;1;2;3,33;1;1;8,33
Nord Ovest;Lombardia;CO;F877;0;4,17;3;3,25;6;16,42
Nord Ovest;Lombardia;CO;F958;0;4,5;3;1;2,5;11
Nord Ovest;Lombardia;CO;G025;5,08;30,99;27,84;11;10,5;85,41
Nord Ovest;Lombardia;CO;G056;0;1,1;7;2;4,6;14,7
Nord Ovest;Lombardia;CO;G126;1;8,89;9;9;4;31,89
Nord Ovest;Lombardia;CO;G415;0;0;1;0;0;1
Nord Ovest;Lombardia;CO;G427;0;5;1;3;3,5;12,5
Nord Ovest;Lombardia;CO;G556;0;7;6,2;0;3;16,2
Nord Ovest;Lombardia;CO;G665;0;0;1;1;0;2
Nord Ovest;Lombardia;CO;G737;0;6;0,33;1;3;10,33
Nord Ovest;Lombardia;CO;G773;1;3,5;0;1;2;7,5
Nord Ovest;Lombardia;CO;G821;0;2;0;0;0;2
Nord Ovest;Lombardia;CO;G847;0;11;5;4;5;25
Nord Ovest;Lombardia;CO;G889;3;12;11,67;6,5;6;39,17
Nord Ovest;Lombardia;CO;H074;1;0;1;2,34;4;8,34
Nord Ovest;Lombardia;CO;H094;0;0;2;1;3;6
Nord Ovest;Lombardia;CO;H171;1,3;0;2;0;1;4,3
Nord Ovest;Lombardia;CO;H255;0;0;1;1;1,5;3,5
Nord Ovest;Lombardia;CO;H259;0;0;1;1;0;2
Nord Ovest;Lombardia;CO;H478;0;3;3,17;2;2,5;10,67
Nord Ovest;Lombardia;CO;H521;0;1;5,5;1;1;8,5
Nord Ovest;Lombardia;CO;H601;2;14;24;4;6;50
Nord Ovest;Lombardia;CO;H602;0;7;9,5;7;7;30,5
Nord Ovest;Lombardia;CO;H679;0;2;4;0;3;9
Nord Ovest;Lombardia;CO;H760;0;2;0;1,5;0;3,5
Nord Ovest;Lombardia;CO;H830;2;3;6;3;0;14
Nord Ovest;Lombardia;CO;H840;1,5;16;20,39;9,17;6;53,06
Nord Ovest;Lombardia;CO;I051;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;I162;7,5;19,5;3;6;7;43
Nord Ovest;Lombardia;CO;I529;0;0;2;2,89;1,5;6,39
Nord Ovest;Lombardia;CO;I611;0;7;4;0;6;17
Nord Ovest;Lombardia;CO;I792;1;4;5;4,06;8,67;22,73
Nord Ovest;Lombardia;CO;I856;1;6;2;1;0;10
