Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Ovest;Piemonte;VC;B046;11;32
Nord Ovest;Liguria;SV;B048;0;0,5
Nord Ovest;Lombardia;SO;B049;41,24;105,98
Nord Ovest;Lombardia;PV;B051;5;61,5
Nord Ovest;Lombardia;BS;B054;18;57,86
Isole;Sardegna;OR;B055;0;0
Isole;Sardegna;NU;B056;3;5
Sud;Abruzzo;CH;B057;0;0
Nord Ovest;Piemonte;BI;B058;3,67;7,84
Nord Est;Veneto;TV;B061;3,33;26,24
Isole;Sardegna;NU;B062;4;1
Isole;Sardegna;SS;B063;2;2
Isole;Sardegna;SS;B064;0;3
Nord Ovest;Liguria;GE;B067;6;7,16
Isole;Sardegna;NU;B068;10,33;10,25
Nord Est;Veneto;RO;B069;2,72;17,46
Nord Est;Veneto;VR;B070;0;2
Nord Ovest;Piemonte;AL;B071;3;10
Nord Est;Veneto;VR;B073;22;86,25
Nord Ovest;Piemonte;TO;B075;5;21,5
Sud;Campania;NA;B076;16,21;23,17
Sud;Campania;NA;B077;16,32;11,14
Nord Ovest;Piemonte;CN;B079;0;0
Nord Ovest;Piemonte;AL;B080;2;7
Nord Ovest;Lombardia;LC;B081;11,67;39,1
Nord Ovest;Lombardia;PV;B082;0;3
Nord Ovest;Lombardia;BG;B083;1;3,5
Nord Ovest;Piemonte;CN;B084;7;5
Sud;Calabria;CZ;B085;4,5;0
Sud;Puglia;LE;B086;0;4,83
Nord Ovest;Lombardia;BG;B088;10,25;60
Nord Ovest;Lombardia;BS;B091;37,74;130,39
Isole;Sardegna;SS;B094;0;0
Sud;Calabria;RC;B097;1;1
Sud;Calabria;RC;B098;3;2
Sud;Calabria;RC;B099;2;6,5
Nord Ovest;Lombardia;BS;B100;7;7,22
Nord Ovest;Piemonte;CN;B101;47,2;59,74
Nord Ovest;Lombardia;BS;B102;12,5;69
Sud;Puglia;FG;B104;10;9
Nord Ovest;Lombardia;MI;B105;90,95;241,97
Nord Est;Veneto;PD;B106;4;36
Nord Est;Veneto;VR;B107;21,59;177,45
Nord Ovest;Piemonte;AL;B109;0;1
Nord Ovest;Lombardia;MN;B110;6;24,58
Nord Ovest;Piemonte;CN;B111;157,8;421,31
Nord Ovest;Lombardia;BG;B112;2;7
Centro;Lazio;RM;B114;66,91;144,66
Sud;Campania;SA;B115;8,03;8
Nord Ovest;Lombardia;PV;B117;7;5
Sud;Calabria;RC;B118;3;6
Nord Ovest;Lombardia;BS;B120;0;15
Nord Ovest;Piemonte;TO;B121;15;74,84
Nord Ovest;Lombardia;BG;B123;12,2;39,33
Nord Ovest;Lombardia;BS;B124;1;2,65
Nord Ovest;Lombardia;VA;B126;7;44,53
Nord Est;Veneto;TV;B128;7,34;68,18
Nord Ovest;Lombardia;CR;B129;14;105
Nord Est;Veneto;VI;B132;7;60
Nord Ovest;Lombardia;CO;B134;20,36;82,75
Nord Ovest;Lombardia;BG;B137;10,84;88,5
Nord Ovest;Lombardia;BG;B138;28,01;119,45
Nord Ovest;Lombardia;LO;B141;4;22,35
Nord Ovest;Lombardia;PV;B142;2;10
Nord Est;Veneto;VI;B143;8;31,5
Nord Ovest;Lombardia;CO;B144;1;13
Nord Ovest;Lombardia;BS;B149;17,66;31
Nord Ovest;Lombardia;VA;B150;2;15,5
Nord Est;Veneto;VR;B152;3;4,5
Nord Est;Veneto;VR;B154;6,5;32,17
Nord Est;Emilia-Romagna;RE;B156;11,5;61,22
Nord Ovest;Lombardia;BS;B157;946,4;2633,66
Nord Ovest;Lombardia;PV;B159;17,11;61
Nord Est;Veneto;VI;B161;4;30,69
Nord Ovest;Lombardia;MI;B162;160,97;324,46
Nord Ovest;Lombardia;VA;B166;3,5;19,5
Nord Ovest;Piemonte;CN;B167;0;0
Sud;Calabria;VV;B169;8;6
Nord Ovest;Piemonte;TO;B171;13,67;30,22
Nord Ovest;Lombardia;CO;B172;6;2
Sud;Basilicata;PZ;B173;9,44;5
Nord Ovest;Piemonte;CN;B175;0;0
Nord Ovest;Piemonte;NO;B176;8,07;31
Nord Ovest;Lombardia;BG;B178;20;82,84
Nord Ovest;Piemonte;AL;B179;2,83;3
Sud;Puglia;BR;B180;96,67;457,43
Sud;Basilicata;PZ;B181;3;0
Nord Ovest;Lombardia;VA;B182;0,2;3,5
Nord Ovest;Piemonte;NO;B183;3;14,56
Nord Ovest;Lombardia;BS;B184;1;2,5
Nord Ovest;Lombardia;MI;B187;20,17;71,94
Nord Est;Emilia-Romagna;RA;B188;16,33;28,33
Nord Ovest;Lombardia;VA;B191;6;14
Nord Ovest;Valle d'Aosta;AO;B192;1;8,5
Sud;Abruzzo;PE;B193;0,33;1
Nord Ovest;Lombardia;LC;B194;8;41,95
Centro;Lazio;FR;B195;0;3,08
Nord Est;Veneto;VI;B196;4;27,67
Sud;Calabria;VV;B197;0;0
Isole;Sicilia;ME;B198;9;6
Nord Ovest;Piemonte;CN;B200;0;3
Nord Ovest;Lombardia;PV;B201;29;93
Isole;Sicilia;CT;B202;54,77;48,76
Nord Ovest;Piemonte;CN;B204;1;6,67
Nord Ovest;Piemonte;TO;B205;0,5;5
Nord Ovest;Piemonte;VB;B207;7,15;12,17
Nord Ovest;Piemonte;TO;B209;6;4,01
Nord Ovest;Lombardia;MI;B212;179,7;486,02
Nord Est;Veneto;PD;B213;7,16;53,89
Nord Ovest;Liguria;SP;B214;2;2
Nord Est;Friuli- Venezia Giulia;PN;B215;12;51,17
Nord Ovest;Piemonte;TO;B216;30,9;80,4
Nord Ovest;Lombardia;BG;B217;0;3
Nord Ovest;Lombardia;CO;B218;8;18,17
Nord Ovest;Lombardia;VA;B219;4;9,34
Nord Ovest;Piemonte;AT;B221;0;1
Nord Ovest;Lombardia;BG;B223;6,9;65,4
Nord Ovest;Piemonte;TO;B225;1;15
Sud;Campania;NA;B227;29,51;38
Nord Ovest;Lombardia;VA;B228;1,08;17,5
Nord Ovest;Piemonte;BI;B229;2;12
Nord Ovest;Valle d'Aosta;AO;B230;20;17
