Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Sud";"Campania";"SA";"A128";1,000000;3,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"A129";1,000000;4,170000;6,500000;0,000000;0,000000;0,000000;0,000000;11,000000;0,000000
"Nord Ovest";"Piemonte";"VC";"A130";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Basilicata";"PZ";"A131";0,000000;0,000000;1,330000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Lazio";"RM";"A132";2,830000;14,000000;30,010000;0,000000;0,000000;0,000000;1,000000;11,000000;0,000000
"Nord Ovest";"Lombardia";"PV";"A134";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"SO";"A135";1,000000;1,000000;1,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Nord Est";"Veneto";"VR";"A137";0,000000;2,000000;6,380000;0,000000;0,000000;0,000000;2,000000;2,000000;3,000000
"Nord Est";"Emilia-Romagna";"PR";"A138";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"CN";"A139";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Ovest";"Lombardia";"CO";"A143";0,000000;5,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,610000;0,000000
"Nord Ovest";"Liguria";"SV";"A145";3,000000;5,500000;28,120000;0,000000;0,000000;0,000000;2,000000;1,000000;1,000000
"Nord Ovest";"Piemonte";"AL";"A146";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"BA";"A149";1,000000;9,000000;18,000000;0,000000;0,000000;0,000000;0,000000;0,000000;3,000000
"Sud";"Puglia";"FG";"A150";0,000000;0,000000;1,250000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"CO";"A153";1,000000;4,000000;6,500000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Nord Est";"Veneto";"VI";"A154";0,000000;0,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Calabria";"CZ";"A155";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A157";0,000000;0,000000;4,200000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"MI";"A159";0,000000;3,000000;5,000000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Sud";"Calabria";"CS";"A160";0,000000;1,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Veneto";"PD";"A161";1,000000;20,090000;13,110000;0,000000;0,000000;0,000000;4,000000;6,560000;2,000000
"Nord Est";"Emilia-Romagna";"RE";"A162";0,000000;1,000000;11,530000;0,000000;0,000000;0,000000;0,000000;11,000000;0,000000
