Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Isole;Sardegna;SS;A453;ARZACHENA;90006
Isole;Sardegna;NU;A454;ARZANA;91002
Sud;Campania;NA;A455;ARZANO;63005
Nord Est;Veneto;PD;A458;ARZERGRANDE;28007
Nord Est;Veneto;VI;A459;ARZIGNANO;24008
Sud;Campania;SA;A460;ASCEA;65009
Centro;Toscana;SI;A461;ASCIANO;52002
Centro;Marche;AP;A462;ASCOLI PICENO;44007
Sud;Puglia;FG;A463;ASCOLI SATRIANO;71005
Centro;Lazio;RI;A464;ASCREA;57004
Nord Est;Veneto;VI;A465;ASIAGO;24009
Nord Ovest;Piemonte;VC;A466;ASIGLIANO VERCELLESE;2007
Nord Est;Veneto;VI;A467;ASIGLIANO VENETO;24010
Centro;Toscana;SI;A468;SINALUNGA;52033
Nord Ovest;Lombardia;MN;A470;ASOLA;20002
Nord Est;Veneto;TV;A471;ASOLO;26003
Centro;Lazio;RI;A472;CASPERIA;57012
Nord Ovest;Lombardia;MI;A473;ASSAGO;15011
Isole;Sardegna;CA;A474;ASSEMINI;92003
Centro;Umbria;PG;A475;ASSISI;54001
Nord Ovest;Lombardia;CO;A476;ASSO;13013
Isole;Sardegna;OR;A477;ASSOLO;95008
Isole;Sicilia;EN;A478;ASSORO;86003
Nord Ovest;Piemonte;AT;A479;ASTI;5005
Isole;Sardegna;OR;A480;ASUNI;95009
Sud;Abruzzo;AQ;A481;ATELETA;66005
Sud;Basilicata;PZ;A482;ATELLA;76006
Sud;Campania;SA;A484;ATENA LUCANA;65010
Sud;Abruzzo;CH;A485;ATESSA;69005
Centro;Lazio;FR;A486;ATINA;60011
Sud;Campania;SA;A487;ATRANI;65011
Sud;Abruzzo;TE;A488;ATRI;67004
Sud;Campania;AV;A489;ATRIPALDA;64006
Centro;Umbria;TR;A490;ATTIGLIANO;55006
Nord Est;Friuli- Venezia Giulia;UD;A491;ATTIMIS;30007
Isole;Sardegna;NU;A492;ATZARA;91003
Isole;Sicilia;SR;A494;AUGUSTA;89001
Sud;Campania;SA;A495;AULETTA;65012
Centro;Toscana;MS;A496;AULLA;45001
Nord Ovest;Piemonte;VB;A497;AURANO;103005
Nord Ovest;Liguria;IM;A499;AURIGO;8005
Nord Est;Veneto;BL;A501;AURONZO DI CADORE;25005
Centro;Lazio;FR;A502;AUSONIA;60012
Isole;Sardegna;NU;A503;AUSTIS;91004
Nord Ovest;Liguria;GE;A506;AVEGNO;10002
Sud;Campania;AV;A508;AVELLA;64007
Sud;Campania;AV;A509;AVELLINO;64008
Nord Ovest;Lombardia;BG;A511;AVERARA;16014
Sud;Campania;CE;A512;AVERSA;61005
Sud;Puglia;TA;A514;AVETRANA;73001
Sud;Abruzzo;AQ;A515;AVEZZANO;66006
Nord Est;Friuli- Venezia Giulia;PN;A516;AVIANO;93004
Nord Ovest;Lombardia;BG;A517;AVIATICO;16015
Nord Ovest;Piemonte;TO;A518;AVIGLIANA;1013
Sud;Basilicata;PZ;A519;AVIGLIANO;76007
Nord Ovest;Valle d'Aosta;AO;A521;AVISE;7006
Isole;Sicilia;SR;A522;AVOLA;89002
Nord Ovest;Piemonte;AL;A523;AVOLASCA;6010
Nord Ovest;Piemonte;TO;A525;AZEGLIO;1014
Nord Ovest;Lombardia;CR;A526;AZZANELLO;19004
Nord Ovest;Piemonte;AT;A527;AZZANO;5006
Nord Ovest;Lombardia;BG;A528;AZZANO SAN PAOLO;16016
Nord Ovest;Lombardia;BS;A529;AZZANO MELLA;17008
Nord Est;Friuli- Venezia Giulia;PN;A530;AZZANO DECIMO;93005
Nord Ovest;Lombardia;VA;A531;AZZATE;12006
Nord Ovest;Lombardia;VA;A532;AZZIO;12007
Nord Ovest;Lombardia;BG;A533;AZZONE;16017
Nord Ovest;Piemonte;VB;A534;BACENO;103006
Sud;Campania;NA;A535;BACOLI;63006
Nord Ovest;Liguria;IM;A536;BADALUCCO;8006
Nord Ovest;Lombardia;PV;A538;BADIA PAVESE;18006
Nord Est;Veneto;RO;A539;BADIA POLESINE;29004
Nord Est;Veneto;VR;A540;BADIA CALAVENA;23005
Centro;Toscana;AR;A541;BADIA TEDALDA;51003
Sud;Calabria;CZ;A542;BADOLATO;79008
Sud;Calabria;RC;A544;BAGALADI;80006
Isole;Sicilia;PA;A546;BAGHERIA;82006
Nord Est;Emilia-Romagna;RA;A547;BAGNACAVALLO;39002
Nord Ovest;Lombardia;PV;A550;BAGNARIA;18007
Nord Est;Emilia-Romagna;RA;A551;BAGNARA DI ROMAGNA;39003
Sud;Calabria;RC;A552;BAGNARA CALABRA;80007
Nord Est;Friuli- Venezia Giulia;UD;A553;BAGNARIA ARSA;30008
Nord Ovest;Piemonte;CN;A555;BAGNASCO;4008
Nord Ovest;Lombardia;BG;A557;BAGNATICA;16018
Centro;Toscana;LU;A560;BAGNI DI LUCCA;46002
Centro;Toscana;PT;A561;MONTECATINI TERME;47011
Centro;Toscana;PI;A562;SAN GIULIANO TERME;50031
