Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Nord Ovest;Piemonte;TO;A584;0;0;0;0;5;5
Nord Est;Emilia-Romagna;RE;A586;1;6;9;11;19;46
Nord Ovest;Piemonte;TO;A587;3;6;6;8,17;13;36,17
Nord Ovest;Piemonte;AT;A588;1;6;3;1;3;14
Nord Ovest;Piemonte;CN;A589;0;2;4;7;11;24
Nord Ovest;Piemonte;TO;A590;1;4;1;0;5;11
Nord Ovest;Piemonte;TO;A591;2;5;13;5;27;52
Isole;Sicilia;PA;A592;8,33;35,25;34,11;17,11;20;114,8
Nord Ovest;Liguria;SV;A593;1;3;0;1;0,5;5,5
Nord Ovest;Lombardia;LC;A594;12,5;40,5;10,66;3,67;4,25;71,58
Isole;Sardegna;CA;A597;0;0;2;0;1;3
Nord Ovest;Piemonte;TO;A599;8;3,67;1;1;2;15,67
Nord Ovest;Piemonte;VC;A600;1;0;0;0;1;2
Nord Ovest;Piemonte;VC;A601;0;0;0;0;0;0
Sud;Abruzzo;AQ;A603;1,5;10;1;1,5;3;17
Sud;Basilicata;PZ;A604;0;2;2;1;1;6
Nord Ovest;Piemonte;AL;A605;0;3,5;10;1;8,8;23,3
Isole;Sardegna;SS;A606;1;1;1;2;1;6
Nord Ovest;Piemonte;TO;A607;2;18;24;2;2;48
Isole;Sardegna;OR;A609;0;1;0;0;0,94;1,94
Nord Ovest;Piemonte;VB;A610;2,5;2,5;3;4;6;18
Sud;Basilicata;PZ;A612;0,5;0;0;1,67;4,5;6,67
Nord Est;Veneto;PD;A613;0,5;1;5,5;3,22;19,83;30,05
Isole;Sardegna;OR;A614;0;1;0;0;0;1
Sud;Basilicata;PZ;A615;4;0;1,33;4,66;5;14,99
Sud;Molise;CB;A616;0;3;3,67;1;1,5;9,17
Sud;Campania;NA;A617;5,92;16,75;5;5;5,75;38,42
Nord Ovest;Lombardia;MI;A618;33,33;79,47;30;3;2;147,8
Nord Ovest;Lombardia;VA;A619;1;4,5;5,8;4;17,5;32,8
Isole;Sardegna;OR;A621;0,66;5;3;1;2;11,66
Nord Ovest;Piemonte;TO;A625;3;2;4,39;4;12;25,39
Centro;Marche;AN;A626;0;2;2;1,72;2,22;7,94
Centro;Lazio;VT;A628;3;6;4;5;2;20
Nord Ovest;Piemonte;CN;A629;0;1;1;0;3;5
Nord Ovest;Lombardia;BS;A630;0;3;9,33;9;9,94;31,27
Nord Ovest;Lombardia;BG;A631;0;2;0,5;1;1;4,5
Centro;Toscana;FI;A632;3,01;31,45;48,3;15;32,84;130,6
Nord Ovest;Lombardia;PV;A634;0;0;1;0;5;6
Nord Est;Veneto;PD;A637;0;0;0;0;1;1
Isole;Sicilia;ME;A638;10,67;47,05;69,64;65,2;53;245,56
Nord Est;Friuli- Venezia Giulia;PN;A640;0;5;4;4;5;18
Nord Ovest;Valle d'Aosta;AO;A643;0;1;0;0;0;1
Nord Ovest;Lombardia;VA;A645;0;11;3,17;5;7;26,17
Nord Est;Emilia-Romagna;PR;A646;2,67;9,33;7;6;13;38
Nord Ovest;Liguria;SV;A647;12;6;5,33;0;1;24,33
Nord Est;Veneto;VR;A650;10,33;61,77;47,7;19;32,5;171,3
Nord Ovest;Piemonte;TO;A651;72,6;91;34,5;7,05;7;212,15
Nord Ovest;Lombardia;MI;A652;15;81,37;74,55;31,83;27,78;230,53
Nord Ovest;Piemonte;NO;A653;0;0;0;0;2;2
Isole;Sardegna;OR;A655;0;0;2;1;1;4
Sud;Abruzzo;AQ;A656;3;2;2;0,75;2,11;9,86
Centro;Toscana;LU;A657;1,5;15,5;34,83;17;43;111,83
Nord Ovest;Liguria;GE;A658;1;12,83;15,75;6;1;36,58
Nord Ovest;Piemonte;CN;A660;5;17;23,5;16;35;96,5
Nord Ovest;Lombardia;BS;A661;4;0;5;0,67;3;12,67
