Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Centro;Lazio;VT;L017;10;33,13;39,27;22,32;41,5;146,22
Nord Est;Friuli- Venezia Giulia;UD;L018;1;6;4;3;0,5;14,5
Centro;Toscana;LI;L019;4,07;17,07;24,5;8,67;10,33;64,64
Nord Ovest;Lombardia;MN;L020;17;41,17;75,88;41,67;92,63;268,35
Nord Ovest;Lombardia;LC;L022;2;4;1;2;2;11
Isole;Sardegna;OR;L023;0;0;0;0;0;0
Nord Ovest;Liguria;IM;L024;36,11;89,33;35,67;10;8,5;179,61
Sud;Abruzzo;AQ;L025;21,67;71,3;27,5;16,96;12;149,43
Nord Est;Veneto;RO;L026;0,5;12,5;19;11,1;14;57,1
Nord Ovest;Piemonte;AL;L027;0;3,67;7,69;8,5;3,75;23,61
Nord Est;Veneto;BL;L030;3;5;6;7;2,5;23,5
Nord Ovest;Lombardia;VA;L032;0;12,67;13,17;11;15,42;52,26
Nord Est;Emilia-Romagna;RN;L034;0;2;4;1;1;8
Nord Ovest;Lombardia;SO;L035;0,02;9;8,62;9,5;3,5;30,64
Isole;Sardegna;NU;L036;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;L037;4;14;2;0,3;1;21,3
Centro;Toscana;AR;L038;6,95;5;3;3,5;7,5;25,95
Nord Est;Friuli- Venezia Giulia;UD;L039;0;5;1;7;20;33
Nord Est;Veneto;BL;L040;0;15,17;10;7,5;9,4;42,07
Isole;Sicilia;ME;L042;25,01;54,67;31,5;8,33;13,5;133,01
Centro;Lazio;RI;L046;2;8;0,67;4;12;26,67
Sud;Abruzzo;CH;L047;0;2;0;0;1;3
Nord Ovest;Piemonte;CN;L048;1;0;9,34;8;10,67;29,01
Sud;Puglia;TA;L049;229,71;537,17;655,81;538,23;325,02;2285,94
Nord Est;Friuli- Venezia Giulia;UD;L050;3;19;32;20;34,6;108,6
Sud;Calabria;CS;L055;0;3,2;4,75;2;4,5;14,45
Nord Ovest;Lombardia;SO;L056;1;1;3;1;1;7
Nord Est;Veneto;TV;L058;0,5;5;18,45;9;16,13;49,08
Nord Ovest;Piemonte;AL;L059;1;1;3;1;2;8
Sud;Campania;AV;L061;0;0;1;0;5,5;6,5
Sud;Campania;AV;L062;3;4;5;0,5;5;17,5
Sud;Calabria;RC;L063;15,99;19,75;19,5;9;24;88,24
Sud;Puglia;LE;L064;13,28;13,67;11,9;17,22;18,75;74,82
Nord Est;Friuli- Venezia Giulia;UD;L065;13,79;51,67;62,34;40,34;49,67;217,81
Nord Ovest;Piemonte;TO;L066;0;0;1;4;1;6
Sud;Molise;CB;L069;1;5,5;2;1;0;9,5
Sud;Calabria;CZ;L070;12;27;9;2;10;60
Nord Ovest;Lombardia;CO;L071;8;21;28;8;14,38;79,38
Nord Ovest;Lombardia;BG;L073;2,33;4;4,75;5,3;9,03;25,41
Sud;Puglia;LE;L074;6;31,27;22,5;22,78;28;110,55
Nord Ovest;Piemonte;BI;L075;1;2;3;1;3;10
Centro;Marche;PS;L078;0;2,08;2;0;8;12,08
Centro;Marche;PS;L081;1;40;32,83;15;21,58;110,41
Sud;Basilicata;PZ;L082;0;0;1;0;1;2
Sud;Campania;CE;L083;6;19;17,34;21;23,31;86,65
Nord Ovest;Lombardia;SO;L084;21;28,68;13,1;13,5;11;87,28
Nord Est;Veneto;VE;L085;0;6;5;3,5;10;24,5
Sud;Campania;BN;L086;1;3,06;8;18,63;31,66;62,35
Nord Ovest;Lombardia;BG;L087;5,67;10,34;14,78;11;7,38;49,17
Isole;Sardegna;SS;L088;0;2;3;4,5;4;13,5
Isole;Sardegna;SS;L093;14,91;29;19,87;15,84;21,5;101,12
Nord Ovest;Lombardia;BS;L094;20,87;60,75;15,15;13;6,33;116,1
Nord Est;Veneto;PD;L100;5;29,01;28,7;22,57;60,27;145,55
Sud;Campania;AV;L102;1;2;1;1;2;7
Sud;Abruzzo;TE;L103;15,69;96,25;140,22;152,5;106,67;511,33
Nord Ovest;Piemonte;NO;L104;0;0;0;2;2;4
Centro;Lazio;FR;L105;0;1;1;0;0;2
Sud;Puglia;BA;L109;38,42;64,99;98,6;59,02;25,5;286,53
Isole;Sicilia;PA;L112;24,38;61,08;63,75;65,13;46,5;260,84
Sud;Molise;CB;L113;39,9;138,29;168,76;111,27;55,17;513,39
Nord Ovest;Lombardia;VA;L115;0,75;12,3;23,75;6;8;50,8
Nord Ovest;Piemonte;BI;L116;0;0;0;1;3;4
Centro;Umbria;TR;L117;106,69;401,69;491,86;281,78;246,65;1528,67
Nord Ovest;Lombardia;BG;L118;11,5;53,2;46,5;18,21;15,75;145,16
Centro;Lazio;LT;L120;71,53;223,6;194,25;104,77;90,74;684,89
Isole;Sardegna;OR;L122;4;7;6;17,69;30,05;64,74
Centro;Toscana;AR;L123;11;30,58;50,7;31,36;32,55;156,19
Sud;Calabria;CS;L124;1;7;3;1;3,5;15,5
Nord Ovest;Lombardia;LO;L125;0;1;13;5;5;24
Sud;Basilicata;PZ;L126;0;3;0,75;2;1;6,75
Sud;Calabria;RC;L127;0;2,86;0;0,86;0;3,72
Isole;Sicilia;PA;L131;11,25;45,25;80,5;30,33;33,22;200,55
Nord Est;Veneto;PD;L132;1;3;6;5,5;6,8;22,3
Sud;Calabria;CS;L134;0;2;0,5;0;1;3,5
Nord Est;Veneto;VR;L136;0;1;2;1;17;21
Centro;Toscana;PI;L138;1;19;15;8;18,25;61,25
Nord Ovest;Piemonte;AL;L139;1;0;1;1,5;6;9,5
Isole;Sardegna;NU;L140;2;10;9;5,67;6;32,67
Sud;Campania;NA;L142;2;17,55;15,72;20,27;14,67;70,21
Nord Ovest;Piemonte;AL;L143;0;4;3;2;9;18
Nord Ovest;Liguria;IM;L146;0;0;0;0;2;2
Centro;Lazio;VT;L150;0;2;1;0;0;3
Nord Ovest;Liguria;SV;L152;1;1;4;1;2;9
Isole;Sardegna;NU;L153;0;0;0;1;4;5
Isole;Sardegna;CA;L154;6,67;13,9;9,67;9,75;10,7;50,69
Sud;Campania;CE;L155;4,25;13,62;39,72;25,55;18,5;101,64
Nord Est;Veneto;VI;L156;7;23,5;21,83;19,6;53,35;125,28
Nord Est;Veneto;VI;L157;12,14;91,75;108,67;52,15;92,1;356,81
Isole;Sardegna;SS;L158;0,56;1;0;2,58;10,54;14,68
Isole;Sardegna;NU;L160;0;0;0;1;0,94;1,94
Nord Ovest;Lombardia;CR;L164;0;2;2;5;4;13
Nord Ovest;Piemonte;AL;L165;0;1;1,33;0;3,33;5,66
Sud;Puglia;LE;L166;3;4,56;4;2;6;19,56
Nord Ovest;Liguria;GE;L167;3;3;9;2,33;5,17;22,5
Nord Ovest;Piemonte;AT;L168;0;4;3;3;12;22
Nord Ovest;Lombardia;BS;L169;5;37,5;13;7;9,5;72
Isole;Sardegna;NU;L172;0;0;0,75;0;0;0,75
Sud;Abruzzo;AQ;L173;0;2;0;0;2;4
Nord Ovest;Lombardia;SO;L175;28,1;43,25;16,95;22,77;10;121,07
Sud;Calabria;CZ;L177;3,5;4,67;4;8;4;24,17
Isole;Sardegna;SS;L180;0;5;4;3,5;5;17,5
Sud;Basilicata;PZ;L181;4;13;10;7;7;41
Centro;Lazio;RM;L182;40;181,97;163,08;89,42;74,42;548,89
Nord Est;Emilia-Romagna;PR;L183;9;19,5;15,5;9,11;14;67,11
Nord Est;Emilia-Romagna;RE;L184;3;12,14;10,5;17,64;11,47;54,75
Sud;Campania;BN;L185;0;1;1;0;1;3
Sud;Abruzzo;PE;L186;2;1;2;3;5,31;13,31
Nord Ovest;Piemonte;VB;L187;2;7;2;1;1;13
Centro;Umbria;PG;L188;5,5;55,1;45,67;52;59,31;217,58
Centro;Lazio;RI;L189;1;6;1,5;4;5,67;18,17
Nord Ovest;Liguria;SV;L190;5,5;19;6,5;4,17;2;37,17
Centro;Marche;MC;L191;4;31,5;56,58;43;30,22;165,3
Centro;Lazio;RM;L192;8,5;16;16;5,67;1,34;47,51
Nord Ovest;Piemonte;BI;L193;0;6;6;3;8,42;23,42
Sud;Abruzzo;CH;L194;2;3,33;5;3,44;4,27;18,04
Nord Est;Friuli- Venezia Giulia;UD;L195;1;11;27;21,33;27,95;88,28
Sud;Basilicata;PZ;L197;2,88;3;2,67;1,17;1;10,72
Nord Est;Veneto;PD;L199;3;21;29;14,5;30,51;98,01
Isole;Sardegna;NU;L202;2;0,43;5;5,5;3,6;16,53
Nord Ovest;Piemonte;AT;L203;1;0;4;2;2;9
Nord Ovest;Piemonte;AT;L204;0;0;1;3;2;6
Sud;Campania;CE;L205;2;4;0;0;1;7
Sud;Calabria;CS;L206;1;8;4;4;7;24
Sud;Abruzzo;TE;L207;0;2;1,5;2;2;7,5
Nord Ovest;Lombardia;BS;L210;6;27,5;31,5;10,84;14,83;90,67
Sud;Campania;SA;L212;0;8;5;12;9;34
Sud;Puglia;BR;L213;5;31,55;24;16,25;8;84,8
Sud;Campania;AV;L214;0;3;4;1;2,22;10,22
Sud;Molise;CB;L215;2;1;0;0;2,25;5,25
Centro;Umbria;PG;L216;4;15;20;18;22;79
Nord Ovest;Valle d'Aosta;AO;L217;17,33;21;8;1;2,5;49,83
Sud;Abruzzo;CH;L218;2;13,5;10,78;3;6;35,28
Nord Ovest;Piemonte;TO;L219;2323,52;7659,72;3761,18;1389,48;1000,3;16134,2
Sud;Puglia;BA;L220;10;25,6;17;27,5;14,25;94,35
Nord Ovest;Lombardia;CR;L221;0;1;0;6,5;3,5;11
Nord Ovest;Piemonte;NO;L223;0;2;4;4;8;18
Sud;Abruzzo;CH;L224;0;0;0;3,25;6;9,25
Nord Ovest;Lombardia;CR;L225;0;0;0;0;4;4
Sud;Abruzzo;AQ;L227;1;1;5;4;3;14
Nord Ovest;Lombardia;CO;L228;1;7;2,83;2;5,5;18,33
Nord Est;Emilia-Romagna;PR;L229;2;8;11;2,2;2;25,2
Sud;Molise;CB;L230;2,5;4,5;5,83;1;1,5;15,33
Isole;Sardegna;NU;L231;1;12;5,25;3,13;6;27,38
Sud;Campania;SA;L233;0;3;4,24;1;8;16,24
Isole;Sardegna;SS;L235;0;1;0;2;4;7
Nord Ovest;Lombardia;PV;L237;0;0;0;1;10;11
Nord Ovest;Piemonte;TO;L238;1;8;9,83;4,5;12,5;35,83
Nord Ovest;Piemonte;BI;L239;0;0;1;1;2;4
Sud;Calabria;CZ;L240;0;0;2;0;3;5
Nord Ovest;Piemonte;CN;L241;3;4;0;0;0;7
Centro;Lazio;FR;L243;0;3;3;1;5;12
Nord Ovest;Lombardia;SO;L244;7,25;6,5;4,16;2;0;19,91
Sud;Campania;NA;L245;29,42;82,75;82,66;64,76;42,98;302,57
Nord Est;Friuli- Venezia Giulia;UD;L246;1;0;6;3;13;23
Nord Ovest;Piemonte;TO;L247;0;0;0;5;5,5;10,5
Nord Est;Veneto;VI;L248;0;29,5;48,16;8,5;38,62;124,78
Nord Ovest;Lombardia;PV;L250;0;1;0;1;2;4
Nord Ovest;Lombardia;BG;L251;9;32,1;39,58;18,36;20,67;119,71
Nord Ovest;Piemonte;CN;L252;0;2;0;1;2;5
Sud;Abruzzo;CH;L253;0;1;0;0;0;1
Sud;Campania;BN;L254;1;1;1;1,25;4,87;9,12
Nord Ovest;Lombardia;PV;L256;2;3;1;5;3;14
Nord Ovest;Lombardia;BG;L257;0;14,5;29,5;7,7;3;54,7
Nord Ovest;Lombardia;CR;L258;0;18;4;10,5;13,88;46,38
Sud;Campania;NA;L259;89,37;167,78;195,49;139,93;57,61;650,18
Nord Ovest;Lombardia;PV;L262;0;3;0;2;0;5
Sud;Abruzzo;PE;L263;2;6;2,94;5;7;22,94
Nord Ovest;Lombardia;BG;L265;1;5;14;7,47;10,83;38,3
Nord Est;Veneto;VE;L267;3;8,5;28,72;4,19;22,5;66,91
Nord Ovest;Lombardia;PV;L269;2;7,67;12,5;10,5;8,7;41,37
Nord Est;Veneto;PD;L270;0;9,25;19,28;8;24,69;61,22
Isole;Sicilia;ME;L271;1;14;18,67;17,5;15;66,17
Sud;Campania;AV;L272;0;1;2;2;6,67;11,67
Sud;Puglia;FG;L273;17,68;34,72;37;39,58;43,5;172,48
Sud;Campania;SA;L274;1,44;3,11;3;1;1;9,55
Nord Ovest;Lombardia;BG;L276;0;4;5;5;8,33;22,33
Nord Ovest;Piemonte;TO;L277;7;56,09;24,33;12,18;27,75;127,35
Nord Ovest;Piemonte;CN;L278;0;0;0;1;2;3
Centro;Marche;AP;L279;0;2;1;1;3;7
Sud;Puglia;BR;L280;3;9;11,22;7,28;19,08;49,58
Nord Ovest;Piemonte;CN;L281;0;0;0;0;1;1
Isole;Sicilia;PA;L282;4;5,67;10;9;10;38,67
Sud;Abruzzo;CH;L284;0;1;1,5;4,75;6,5;13,75
Nord Ovest;Lombardia;PV;L285;0;20,5;14;8;5,9;48,4
Centro;Lazio;RI;L286;3,5;3;7;2;5,67;21,17
Nord Est;Veneto;VR;L287;10;41;32,03;21,92;30,66;135,61
Centro;Lazio;FR;L290;1;2;1,33;6,3;3,5;14,13
Sud;Abruzzo;CH;L291;0;1,75;3;0;6;10,75
Nord Ovest;Lombardia;PV;L292;0,5;3;6;0,5;5,5;15,5
Centro;Lazio;RI;L293;6,5;5,78;2,75;3,5;7,98;26,51
Sud;Puglia;TA;L294;17;19,5;20,5;16,57;12,5;86,07
Sud;Abruzzo;TE;L295;0;0;3,5;2;1;6,5
Nord Ovest;Lombardia;CR;L296;0;0;1;4;6;11
Nord Est;Veneto;VI;L297;4;43,33;57,49;26,67;42,5;173,99
Nord Ovest;Liguria;GE;L298;17;28;14,5;8,33;9,75;77,58
Nord Est;Emilia-Romagna;PR;L299;18,67;45,75;26,5;17;23;130,92
Sud;Campania;AV;L301;1;1;1;3;1;7
Centro;Lazio;RM;L302;1,33;4,33;4;1,33;1,5;12,49
Centro;Toscana;SI;L303;0,5;16,1;14;15,5;25;71,1
Nord Ovest;Piemonte;AL;L304;20;100,38;127,5;52;85,67;385,55
Sud;Calabria;CS;L305;14,77;50,67;25,67;13;8,66;112,77
Sud;Campania;SA;L306;0;2;1;1,43;1,5;5,93
Sud;Abruzzo;TE;L307;66,51;291,66;87,33;24,75;20,25;490,5
Isole;Sicilia;ME;L308;1,5;7,83;4,22;3,16;7,3;24,01
Nord Est;Friuli- Venezia Giulia;UD;L309;0;8,5;9,17;6,5;10,5;34,67
Centro;Lazio;VT;L310;5;23,67;26,5;22,44;29,5;107,11
Nord Ovest;Lombardia;BS;L312;41,5;118,19;50;34,17;33,19;277,05
Sud;Abruzzo;TE;L314;0;0;0;1;3;4
Nord Ovest;Liguria;SV;L315;3;9;11;4,9;8;35,9
Nord Ovest;Lombardia;SO;L316;1;2;3;0;1;7
Isole;Sicilia;PA;L317;16,89;34;56,92;28;44,83;180,64
Nord Ovest;Lombardia;VA;L319;15;88,75;112,67;40,75;43,33;300,5
Isole;Sardegna;OR;L321;0;1;0;3;2,5;6,5
Sud;Campania;SA;L323;6,78;10;9;4;6;35,78
Nord Est;Friuli- Venezia Giulia;PN;L324;0;1,17;3;0,42;2;6,59
Nord Est;Friuli- Venezia Giulia;PN;L325;2;3;1,5;2;5;13,5
Sud;Basilicata;PZ;L326;3;2,75;2;7;1,5;16,25
Nord Ovest;Piemonte;TO;L327;0;7;14;8;22;51
Sud;Puglia;BA;L328;62,43;197,85;291,97;188,86;101,06;842,17
Nord Ovest;Lombardia;SO;L330;3;7,5;4,03;4,92;1;20,45
Isole;Sicilia;TP;L331;118,25;213,26;157,89;145,72;107,06;742,18
Isole;Sicilia;PA;L332;5;12,5;13;6;6;42,5
Nord Ovest;Piemonte;VB;L333;2;11;9,25;4;8,88;35,13
Sud;Abruzzo;AQ;L334;3;2;9;5;8;27
Nord Est;Friuli- Venezia Giulia;UD;L335;0;2,33;4;2,44;12,5;21,27
Nord Ovest;Piemonte;VB;L336;0,67;3;2,5;1;0;7,17
Isole;Sardegna;CA;L337;0;0;4;2;1;7
Nord Ovest;Lombardia;BS;L339;4;41,75;61,49;38,5;36;181,74
Nord Ovest;Piemonte;TO;L340;4;3;3;0;5,5;15,5
Nord Ovest;Lombardia;VA;L342;1;2;7;14,33;11,5;35,83
Nord Ovest;Piemonte;TO;L345;0;2;7;2,33;7;18,33
Nord Est;Emilia-Romagna;PR;L346;8;32,8;47,23;28,83;46,5;163,36
Nord Est;Friuli- Venezia Giulia;PN;L347;0;1,5;3;1;9,33;14,83
Nord Est;Emilia-Romagna;PC;L348;7,99;12,5;22,33;9,33;28,11;80,26
Nord Est;Veneto;PD;L349;3;45;30;25,42;52,67;156,09
Sud;Calabria;CS;L353;6;28,5;14,5;10;6;65
Isole;Sicilia;CT;L355;1;17,25;25,97;31,93;52,06;128,21
Nord Ovest;Piemonte;NO;L356;16;82,86;131,32;45,68;41;316,86
Sud;Basilicata;PZ;L357;5;2;1;0;4;12
Nord Est;Veneto;RO;L359;1,25;3,11;6;9,5;20,75;40,61
Nord Est;Emilia-Romagna;FO;L361;1;7,5;5;1;6,5;21
Sud;Abruzzo;CH;L363;0;3;4;3;6;16
Nord Est;Veneto;VR;L364;9;25,65;9,17;17,4;22,6;83,82
Centro;Marche;MC;L366;4,25;17;27,84;13,75;20,97;83,81
Nord Ovest;Piemonte;CN;L367;0;1;0;1;2;4
Isole;Sicilia;CT;L369;3;19,83;59,92;67,23;45,5;195,48
Nord Ovest;Lombardia;BS;L372;24,75;27,78;19,63;11;12,04;95,2
Sud;Campania;SA;L377;3;3;5;4;5,91;20,91
Sud;Campania;CE;L379;11;20,36;58,5;39,79;26,23;155,88
Nord Ovest;Lombardia;BS;L380;2;14,5;7,5;8,5;23,83;56,33
Nord Est;Friuli- Venezia Giulia;UD;L382;0;3;4;2;16;25
Sud;Puglia;LE;L383;2,83;23,93;22,17;24,71;31,61;105,25
Centro;Toscana;SI;L384;0;6;7;6;10;29
Centro;Toscana;MS;L386;3;5;6,5;2;14;30,5
Nord Ovest;Lombardia;BG;L388;3;60,83;70,79;30,02;30;194,64
Nord Ovest;Lombardia;CR;L389;1,5;12,5;12,5;4,83;21;52,33
Nord Ovest;Lombardia;SO;L392;6;14,92;11;5,42;6;43,34
Isole;Sardegna;OR;L393;4,11;5,01;9,11;4;9,93;32,16
Nord Est;Veneto;VR;L396;0;4,5;6;1;12;23,5
Centro;Umbria;PG;L397;5;13;10,5;12;40,41;80,91
Centro;Lazio;FR;L398;21;27,75;7,8;3,34;3;62,89
Sud;Campania;AV;L399;0;0;3;0;0,75;3,75
Nord Ovest;Lombardia;BG;L400;42;199,29;166,97;97;80;585,26
Centro;Lazio;RM;L401;17,17;44,78;28,67;24,25;17,01;131,88
Nord Est;Veneto;TV;L402;2;25;12;13,23;35;87,23
Nord Ovest;Piemonte;AL;L403;0;0;1;0;3;4
Nord Ovest;Lombardia;BG;L404;6,38;39,17;48;31,11;25,83;150,49
Nord Ovest;Lombardia;BS;L406;0;2;2;2;2;8
Nord Est;Veneto;TV;L407;43,07;348,93;485,15;321,52;295,54;1494,21
Nord Ovest;Lombardia;MI;L408;20;23,5;16,2;8,01;11,5;79,21
Nord Ovest;Lombardia;MI;L409;33,5;169,96;126,99;37,03;42,04;409,52
Nord Ovest;Piemonte;CN;L410;0;0;0;0;1;1
Nord Ovest;Lombardia;MI;L411;16,5;67;93,33;34;13,11;223,94
Nord Ovest;Lombardia;CO;L413;0;1;0;0;0;1
Nord Est;Veneto;PD;L414;0,67;8;8;8;17,38;42,05
Nord Ovest;Lombardia;MI;L415;3;45,5;38,88;6;9;102,38
Nord Ovest;Liguria;GE;L416;6;1;3,02;1,17;1;12,19
Sud;Basilicata;MT;L418;6;10,06;5;8;3;32,06
Sud;Puglia;LE;L419;11;34,66;36,92;36,67;38,5;157,75
Nord Ovest;Piemonte;VC;L420;0;0;3;1;4;8
Nord Est;Friuli- Venezia Giulia;UD;L421;2;28,5;22,33;34;43;129,83
Isole;Sardegna;NU;L423;0;0;0;0,67;0;0,67
Sud;Puglia;BA;L425;23,5;62,5;100,5;46,67;34,58;267,75
Nord Ovest;Lombardia;CR;L426;0;1;1;3;5;10
Nord Ovest;Piemonte;CN;L427;0;1;4;5;9;19
Isole;Sardegna;SS;L428;61,15;94,81;34;13,67;9,63;213,26
Nord Ovest;Piemonte;VC;L429;3;35,25;22,5;22;22,07;104,82
Nord Ovest;Liguria;IM;L430;5,07;10,75;12;4;4;35,82
Isole;Sicilia;ME;L431;0;3;3,5;2;1;9,5
Nord Ovest;Piemonte;AL;L432;0;4,5;3;1,5;8;17
Nord Est;Veneto;VI;L433;0,4;9,72;27,34;15,25;36,05;88,76
Nord Ovest;Lombardia;MI;L434;11,5;38,4;41,8;22,42;27;141,12
Sud;Molise;CB;L435;1;3;6;2;5;17
Centro;Lazio;FR;L437;0;6;0;2;4,75;12,75
Nord Est;Friuli- Venezia Giulia;UD;L438;0;0;1;4;5,5;10,5
Sud;Basilicata;PZ;L439;1;2;1,33;1,33;0;5,66
Nord Ovest;Lombardia;PV;L440;0;22;32;9,5;9,5;73
Nord Ovest;Piemonte;TO;L445;6,5;53;40,5;21,5;28;149,5
Sud;Puglia;FG;L447;13,66;23,33;12;9,5;10;68,49
Isole;Sicilia;EN;L448;4;16,47;15,47;14,15;22;72,09
Nord Ovest;Lombardia;PV;L449;0;17,17;7,17;9;16,61;49,95
Nord Ovest;Piemonte;VB;L450;1;1;2,33;0,75;7;12,08
Nord Ovest;Piemonte;VC;L451;0;2;5,5;7;9,5;24
Sud;Calabria;VV;L452;17,22;29,5;21;19;14;100,72
Nord Ovest;Lombardia;PV;L453;0;4;5,5;4,5;2;16
Nord Ovest;Lombardia;MI;L454;8;55;22,5;10;11,34;106,84
Sud;Molise;CB;L458;1;2,08;1;0;0,08;4,16
Sud;Abruzzo;CH;L459;1;5;0;2;2;10
Sud;Campania;NA;L460;0;6;8;6;8,5;28,5
Sud;Campania;AV;L461;1;1;2,02;0;1,82;5,84
Sud;Puglia;LE;L462;6;20,29;25,67;11;17,45;80,41
Isole;Sardegna;CA;L463;0;2;1;1;2;6
Isole;Sardegna;SS;L464;0;0;0;2,75;2,86;5,61
Centro;Umbria;PG;L466;2;21;16;14,5;18,5;72
Nord Ovest;Lombardia;LO;L469;0;7;9;3,5;5;24,5
Nord Ovest;Lombardia;CO;L470;10;49,86;45,83;26,33;22;154,02
Nord Ovest;Lombardia;MI;L471;0;23,5;23;19,81;28,52;94,83
Sud;Puglia;BA;L472;12;34,5;62;33;47;188,5
Isole;Sardegna;CA;L473;0;0;0;0;3;3
Sud;Abruzzo;PE;L475;0;0;1;2;1;4
Sud;Basilicata;MT;L477;4;3;6,5;0;0,69;14,19
Isole;Sicilia;ME;L478;4,96;17;7;4,33;5,5;38,79
Nord Ovest;Lombardia;VA;L480;19;67,5;49,53;23,22;38,1;197,35
Isole;Sicilia;ME;L482;0;1;1;0,56;0;2,56
Nord Est;Friuli- Venezia Giulia;UD;L483;97,5;432,82;557,3;334,81;366,66;1789,09
Sud;Puglia;LE;L484;43,01;96,19;48,09;27,09;40,47;254,85
Sud;Puglia;LE;L485;10;21,17;14;2,67;3;50,84
Nord Ovest;Lombardia;CO;L487;2;14;14;16;14;60
Isole;Sardegna;OR;L488;0;1;0;0;2;3
Isole;Sardegna;NU;L489;1;0;0;5;1;7
Sud;Calabria;KR;L492;0;0;0;1;0;1
Nord Ovest;Lombardia;BS;L494;1;10;8;10;9;38
Isole;Sardegna;OR;L496;0;0;2,25;5,25;3;10,5
Nord Est;Veneto;PD;L497;0;2;3;3;6,5;14,5
Centro;Marche;PS;L498;2,14;15,13;23,01;15;19,75;75,03
Nord Ovest;Liguria;SV;L499;6;34,5;14;5,5;9;69
Centro;Marche;PS;L500;26;40,39;35,92;34,35;49,12;185,78
Centro;Marche;MC;L501;0;3;6;6,5;5;20,5
Nord Ovest;Lombardia;BG;L502;9,5;52,12;56,51;33,81;44,67;196,61
Isole;Sardegna;SS;L503;0;1;6;3,8;8,8;19,6
Sud;Molise;CB;L505;6;6,5;2;2;4,5;21
Isole;Sardegna;NU;L506;0;0;0;1;1;2
Nord Ovest;Liguria;GE;L507;3;25;15;6,5;2,5;52
Isole;Sardegna;OR;L508;1;2;2;0;3,67;8,67
Isole;Sardegna;SS;L509;1;3,9;7;9,5;16;37,4
Nord Ovest;Lombardia;MI;L511;10,67;53,8;52,17;29;26,63;172,27
Isole;Sardegna;CA;L512;0;3,75;3;5;7;18,75
Isole;Sardegna;CA;L513;0;0;2;0;1,33;3,33
Isole;Sardegna;NU;L514;0;1;0;1;0;2
Nord Ovest;Piemonte;TO;L515;7;5,83;1;2;0;15,83
Nord Ovest;Piemonte;TO;L516;6,06;2;4;0;0;12,06
Centro;Marche;MC;L517;5;9,66;8;0;0;22,66
Isole;Sicilia;PA;L519;7,86;12;2;0;0;21,86
Isole;Sardegna;CA;L521;4;46,8;34,5;26,5;12,3;124,1
Centro;Toscana;PT;L522;1;19,5;18,5;9,33;20,33;68,66
Sud;Calabria;CS;L524;1;0;4;0;1;6
Centro;Lazio;RI;L525;0;1;1;0;2;4
Sud;Abruzzo;CH;L526;0;3,42;4,54;3;4,69;15,65
Nord Ovest;Liguria;SV;L528;7;47,59;46,09;15,75;8;124,43
Centro;Toscana;FI;L529;1;14,83;30;15,33;23,33;84,49
Nord Ovest;Piemonte;AT;L531;0;1;0;0;0;1
Sud;Basilicata;PZ;L532;4;5,5;5;0;2,5;17
Centro;Toscana;LU;L533;0;3;2;3;0;8
Nord Ovest;Lombardia;CR;L535;0;11;10;9;15,75;45,75
Centro;Toscana;PO;L537;3,33;23,5;31,5;19;34,5;111,83
Nord Ovest;Piemonte;TO;L538;5;3;7;4;2;21
Nord Ovest;Lombardia;CR;L539;6;25;19,4;12,5;7,5;70,4
Sud;Campania;CE;L540;3;8;5;6;14,33;36,33
Nord Ovest;Lombardia;BG;L544;40;21;4,75;1;1,5;68,25
Nord Ovest;Lombardia;BG;L545;3;4,67;18,57;7;6,5;39,74
Nord Ovest;Liguria;GE;L546;4;12,46;6;5,5;7,33;35,29
Nord Ovest;Lombardia;CO;L547;14;35,37;6,5;7;12;74,87
Nord Est;Veneto;VI;L551;14,33;72,5;86,77;64,42;76,36;314,38
Nord Est;Veneto;VI;L554;0;2;1;6,5;4,5;14
Nord Ovest;Piemonte;TO;L555;4;16,5;21;13,5;23,99;78,99
Nord Ovest;Piemonte;BI;L556;0;5,5;6;2;15,5;29
Nord Ovest;Lombardia;SO;L557;34,03;44,84;12,79;4;1,5;97,16
Nord Ovest;Piemonte;CN;L558;9;11,5;5;5;2;32,5
Isole;Sicilia;ME;L561;1;4,92;2,75;3,5;3;15,17
Nord Ovest;Lombardia;PV;L562;1;3,5;1,63;2;5,5;13,63
Nord Ovest;Lombardia;SO;L563;25,91;31,21;14,2;4,06;0,33;75,71
Nord Est;Veneto;TV;L565;2;22,61;25,35;24,56;34,42;108,94
Nord Ovest;Piemonte;VC;L566;3;7,5;5,75;5,5;10,75;32,5
Nord Est;Veneto;VR;L567;11;48,83;51,83;50,58;85,51;247,75
Nord Ovest;Lombardia;PV;L568;0;1;2;1;1;5
Centro;Lazio;VT;L569;12,67;26;7,5;4;10;60,17
Nord Ovest;Piemonte;AL;L570;26,56;119,45;88,53;50,5;39,83;324,87
Sud;Puglia;BA;L571;11;33,67;67,8;42,06;29,67;184,2
Nord Ovest;Lombardia;LO;L572;0;9;6;6;6;27
Centro;Umbria;PG;L573;2;4;6;9;8;29
Nord Ovest;Piemonte;AT;L574;0;4;2,5;7;14,5;28
Nord Ovest;Lombardia;SO;L576;13;20,39;6,81;1;2;43,2
