AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Lombardia;BG;M045;0;6,5;27,91;12,83;9,33;56,57
Nord Ovest;Lombardia;BG;M050;2;3,17;3,67;3;1;12,84
Nord Ovest;Lombardia;BG;M144;0;5,5;6,34;2,92;6,8;21,56
Nord Ovest;Lombardia;BG;M147;8;38,83;35,5;24,58;15,83;122,74
Nord Ovest;Lombardia;BG;M184;9,33;15,2;19,42;10,63;15,22;69,8
Nord Ovest;Lombardia;BG;M333;8;12;10;10,43;11,92;52,35
Nord Ovest;Lombardia;BG;M334;2;4;7,36;3,67;7;24,03
Nord Ovest;Lombardia;BS;A034;0;0;1;2,5;2,75;6,25
Nord Ovest;Lombardia;BS;A060;0;8,5;14;9,67;8,78;40,95
Nord Ovest;Lombardia;BS;A082;1;0;2,5;6;3,25;12,75
Nord Ovest;Lombardia;BS;A188;0;0;1;1,33;4,83;7,16
Nord Ovest;Lombardia;BS;A288;1;3;1;1;1;7
Nord Ovest;Lombardia;BS;A293;5,11;7,44;8;5;3,8;29,35
Nord Ovest;Lombardia;BS;A451;8,5;22,99;6;4,56;3;45,05
Nord Ovest;Lombardia;BS;A529;0;12;9,4;8;5;34,4
Nord Ovest;Lombardia;BS;A569;1;19,88;16,54;20,65;27,18;85,25
Nord Ovest;Lombardia;BS;A578;2;12,35;5,39;8,44;2;30,18
Nord Ovest;Lombardia;BS;A630;1;1;6;7;5,27;20,27
Nord Ovest;Lombardia;BS;A661;0;0;0;2;0,5;2,5
Nord Ovest;Lombardia;BS;A702;0;4;1,75;1;10,5;17,25
Nord Ovest;Lombardia;BS;A729;1;27;23,33;19;20,35;90,68
Nord Ovest;Lombardia;BS;A799;0;4;9,54;4;8,14;25,68
Nord Ovest;Lombardia;BS;A816;0;4;1;1;0;6
Nord Ovest;Lombardia;BS;A817;2;10;4,38;5;2,38;23,76
Nord Ovest;Lombardia;BS;A861;1;4;5,42;5;5,5;20,92
Nord Ovest;Lombardia;BS;A878;1,25;0;0;2;1;4,25
Nord Ovest;Lombardia;BS;B035;0;4;3,16;8;9,28;24,44
Nord Ovest;Lombardia;BS;B040;1;13,11;26,5;11,25;15,28;67,14
Nord Ovest;Lombardia;BS;B054;5,79;19,76;5;3;1;34,55
Nord Ovest;Lombardia;BS;B091;2;17,5;22,25;11,52;24,61;77,88
Nord Ovest;Lombardia;BS;B100;2;2,17;7,5;3,11;0,17;14,95
Nord Ovest;Lombardia;BS;B102;3;16,92;29,58;13,5;11,83;74,83
Nord Ovest;Lombardia;BS;B120;0;5;5;3,78;5,78;19,56
Nord Ovest;Lombardia;BS;B124;0;1;2;2;2;7
Nord Ovest;Lombardia;BS;B149;0,5;4;6,94;4;3,5;18,94
Nord Ovest;Lombardia;BS;B157;183,74;622,97;645,88;377,02;315,45;2145,06
Nord Ovest;Lombardia;BS;B184;1,33;3,67;2;0;0;7
Nord Ovest;Lombardia;BS;B365;3;6;3;3;1;16
Nord Ovest;Lombardia;BS;B394;0;22,51;20,39;11,89;16;70,79
Nord Ovest;Lombardia;BS;B436;1;6;9;3;7,5;26,5
Nord Ovest;Lombardia;BS;B450;2;6;15,28;10,5;6,72;40,5
Nord Ovest;Lombardia;BS;B664;1;3;1;0,8;3,52;9,32
Nord Ovest;Lombardia;BS;B676;0;1,33;1,17;0;0;2,5
Nord Ovest;Lombardia;BS;B698;1;5;9;7;8;30
Nord Ovest;Lombardia;BS;B711;1;23,56;16,75;12,36;18,05;71,72
Nord Ovest;Lombardia;BS;B817;5,67;24,34;28,17;17,7;23,41;99,29
Nord Ovest;Lombardia;BS;C055;1,17;24,8;24,36;13,07;21,71;85,11
Nord Ovest;Lombardia;BS;C072;0;10;9;9,67;9,67;38,34
Nord Ovest;Lombardia;BS;C208;8;46;23,1;15,5;20,66;113,26
Nord Ovest;Lombardia;BS;C293;0;29,2;28,5;15,72;24,14;97,56
Nord Ovest;Lombardia;BS;C330;1;2;1;0;0;4
Nord Ovest;Lombardia;BS;C332;0;9;15,08;7,08;13,58;44,74
Nord Ovest;Lombardia;BS;C408;2;21;11;14,5;22;70,5
Nord Ovest;Lombardia;BS;C417;0,67;2;0;2,67;1;6,34
Nord Ovest;Lombardia;BS;C439;2;2;7;7;12;30
Nord Ovest;Lombardia;BS;C549;3;1;1;0;0;5
Nord Ovest;Lombardia;BS;C585;2;2;2;4,89;2;12,89
Nord Ovest;Lombardia;BS;C591;2;3,78;1;1;1;8,78
Nord Ovest;Lombardia;BS;C618;12;35,33;40,5;29,67;43;160,5
Nord Ovest;Lombardia;BS;C685;0;0;2;2,67;3,83;8,5
Nord Ovest;Lombardia;BS;C691;1;2;2;0;0;5
Nord Ovest;Lombardia;BS;C698;1;6;3;0,2;0;10,2
