AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Nord Ovest;Lombardia;MI;B212;35,67;193,62;168,56;59,55;65,46;522,86
Nord Est;Veneto;PD;B213;1;17;11,5;13;15,28;57,78
Nord Ovest;Liguria;SP;B214;0;2;2,5;2;4;10,5
Nord Est;Friuli- Venezia Giulia;PN;B215;2;7;16,5;16;33,17;74,67
Nord Ovest;Piemonte;TO;B216;1;10;27,83;26,38;26,5;91,71
Nord Ovest;Lombardia;BG;B217;2,5;1;3,7;0;0;7,2
Nord Ovest;Lombardia;CO;B218;5,5;5;4,5;1;3;19
Nord Ovest;Lombardia;VA;B219;1;2;1;1;2;7
Nord Ovest;Piemonte;AT;B221;0;2;0;1;4;7
Nord Ovest;Lombardia;BG;B223;3;11,95;19,72;13;10,67;58,34
Nord Ovest;Piemonte;TO;B225;0;5;0;1,5;8,94;15,44
Sud;Campania;NA;B227;15,02;20,84;36,91;27,33;23,09;123,19
Nord Ovest;Lombardia;VA;B228;2;7;7;4,17;7,5;27,67
Nord Ovest;Piemonte;BI;B229;1;2;0,17;5,17;5,17;13,51
Nord Ovest;Valle d'Aosta;AO;B230;11,75;21,75;3,33;2,33;0;39,16
Nord Ovest;Piemonte;TO;B232;0;5,33;4;2;4;15,33
Sud;Calabria;RC;B234;2;0;0;3;1;6
Nord Ovest;Lombardia;MI;B235;0;14;7;6,5;5;32,5
Nord Ovest;Piemonte;AT;B236;0;1;1;1;3,83;6,83
Isole;Sicilia;SR;B237;0,67;4;2;2;4,62;13,29
Sud;Abruzzo;CH;B238;0;6;6;4,67;5,22;21,89
Sud;Campania;BN;B239;1;1;0,46;2;0,46;4,92
Nord Ovest;Lombardia;MI;B240;22;105,66;107,13;32;35,5;302,29
Sud;Campania;SA;B242;1,75;7,35;3;3;2;17,1
Centro;Toscana;AR;B243;0;17,5;32;16,67;25,65;91,82
Isole;Sardegna;SS;B246;2;1;2;5;5,75;15,75
Nord Est;Friuli- Venezia Giulia;PN;B247;0,5;0;4;13;19,1;36,6
Isole;Sardegna;NU;B248;36,24;120,28;33,5;16;11,5;217,52
Nord Est;Emilia-Romagna;BO;B249;6;73,75;62;24,08;33,33;199,16
Isole;Sardegna;CA;B250;4;4,5;3,75;1,8;1,25;15,3
Centro;Toscana;PT;B251;4;23,5;18;9,8;27,32;82,62
Nord Ovest;Lombardia;SO;B255;1;3;3;3,78;3;13,78
Sud;Abruzzo;AQ;B256;0;1;0;0;1;2
