AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Centro;Lazio;VT;A040;4;5,39;12,17;10,05;9,92;41,53
Sud;Calabria;CS;A041;7;12;2;1;2;24
Sud;Puglia;LE;A042;1;5;0,5;2;7;15,5
Sud;Calabria;VV;A043;0;4,61;2;0;2;8,61
Centro;Marche;AP;A044;1;3,5;1,9;3,84;0,33;10,57
Centro;Umbria;TR;A045;1;3;3,5;5;7,2;19,7
Centro;Marche;AP;A047;0;8;5;3;4;20
Sud;Puglia;BA;A048;13,06;21,83;36,1;38,83;37,5;147,32
Isole;Sicilia;CL;A049;5;10;8;8;3;34
Sud;Molise;CB;A050;0;3;0;0;0;3
Sud;Molise;IS;A051;1;0;0;0;0;1
Nord Ovest;Piemonte;AL;A052;10;65,5;88,8;30;27;221,3
Sud;Calabria;CS;A053;12;7,92;10;16,8;6,22;52,94
Centro;Lazio;FR;A054;5,33;4,09;3;2;1,5;15,92
Sud;Puglia;BA;A055;14;20;29,17;21,5;29;113,67
Isole;Sicilia;CT;A056;28,17;48,13;40,34;36,83;33,33;186,8
Nord Ovest;Lombardia;BG;A057;2,67;8;6,59;1;4,75;23,01
Nord Ovest;Lombardia;BG;A058;0;0,51;0,34;0;0;0,85
Nord Est;Veneto;RO;A059;11;45,34;37,67;36,8;37,67;168,48
Nord Ovest;Lombardia;BS;A060;2;12,8;14;11,5;27,1;67,4
Nord Est;Veneto;VR;A061;1;4;11;9;5;30
Centro;Lazio;RM;A062;1;4,8;1,8;2;0;9,6
Sud;Campania;NA;A064;59,63;84,73;87,33;50,83;25,67;308,19
Sud;Calabria;RC;A065;0;0;0;0;2,25;2,25
Nord Est;Emilia-Romagna;PC;A067;0;4;4;5;13,33;26,33
Sud;Campania;NA;A068;3,78;10;14,83;8;7,16;43,77
Isole;Sardegna;SS;A069;2;2;2,09;1;1;8,09
Isole;Sicilia;EN;A070;5,33;17;17,61;9,58;8,78;58,3
Centro;Toscana;PT;A071;1,33;63;41,17;27;27,8;160,3
Nord Ovest;Piemonte;AT;A072;0;0;3;2;9;14
Nord Ovest;Piemonte;TO;A074;0;1;5;5,5;10;21,5
Nord Est;Veneto;PD;A075;0;3;6;3,86;4;16,86
Nord Ovest;Lombardia;CR;A076;2;13;3;7,5;9,5;35
Sud;Calabria;RC;A077;1;0;0;0;0;1
Sud;Molise;IS;A080;0,67;3,67;0;2;4,17;10,51
Centro;Lazio;FR;A081;2;3;1;0;1,25;7,25
Nord Ovest;Lombardia;BS;A082;1,33;3;5;3;3;15,33
