AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Ovest;Liguria;GE;D677;1;2,75
Nord Ovest;Piemonte;AT;D678;1;0
Nord Est;Veneto;PD;D679;27,67;2
Nord Est;Veneto;TV;D680;15,5;0
Sud;Abruzzo ;AQ;D681;0,5;0
Centro;Lazio;FR;D682;2;1
Sud;Campania;CE;D683;0;1
Nord Ovest;Lombardia;BG;D684;10,17;4
Nord Est;Emilia-Romagna;PR;D685;56;0
Nord Est;Veneto;BL;D686;10,08;2,75
Nord Ovest;Lombardia;BG;D688;21;0,39
Centro;Lazio;RI;D689;9;4,89
Sud;Abruzzo ;CH;D690;162,5;23,5
Centro;Marche;AP;D691;3;0
Sud;Campania;BN;D693;0;0
Nord Ovest;Lombardia;SO;D694;0;1,66
Isole;Sardegna;OR;D695;1;1
Sud;Basilicata;PZ;D696;0;1,96
Nord Ovest;Lombardia;BG;D697;13,67;1
Nord Est;Friuli- Venezia Giulia;UD;D700;9,5;1
Sud;Campania;AV;D701;4,93;3,87
Sud;Campania;NA;D702;7,21;7,35
Sud;Molise;IS;D703;1;1,87
Nord Est;Emilia-Romagna;FO;D704;942,11;79,76
Nord Est;Emilia-Romagna;FO;D705;102,91;8,5
Nord Ovest;Piemonte;VB;D706;7;2
Centro;Lazio;RM;D707;79,33;19,5
Centro;Lazio;LT;D708;132,62;38,06
Sud;Campania;CE;D709;1;1
Nord Ovest;Lombardia;CR;D710;3,5;0
Nord Est;Emilia-Romagna;MO;D711;416,9;41,62
Nord Ovest;Piemonte;VC;D712;2;1
Nord Est;Emilia-Romagna;FE;D713;16,83;0
Sud;Molise;IS;D715;3,02;4
Nord Est;Veneto;VI;D717;19,67;1,67
Nord Est;Friuli- Venezia Giulia;UD;D718;5;3,5
Nord Est;Friuli- Venezia Giulia;UD;D719;20,1;4,33
Nord Est;Friuli- Venezia Giulia;UD;D720;1;0
Nord Ovest;Piemonte;TO;D725;11;4,5
Nord Ovest;Lombardia;BG;D727;15,33;2,25
Nord Est;Emilia-Romagna;PR;D728;28,68;10
Centro;Toscana;LU;D730;22,5;4
Nord Ovest;Lombardia;PV;D732;0;0
Isole;Sicilia;ME;D733;0;3
Centro;Toscana;LU;D734;0;0
Centro;Toscana;MS;D735;11;8,5
Sud;Abruzzo ;AQ;D736;2;0
Sud;Molise;CB;D737;5;4,25
Sud;Abruzzo ;CH;D738;21,83;10
Nord Est;Veneto;VE;D740;42,23;8,67
Nord Est;Veneto;VE;D741;45;2
Nord Ovest;Piemonte;CN;D742;169,17;23,03
Sud;Calabria;CZ;D744;0;0
Centro;Umbria;PG;D745;3,83;2,5
Sud;Calabria;RC;D746;4,75;1
Nord Est;Veneto;VE;D748;80,44;7
Centro;Marche;PS;D749;28,67;1,83
Nord Est;Veneto;VI;D750;1;0
Nord Ovest;Piemonte;CN;D751;10;13
Nord Ovest;Piemonte;CN;D752;101,25;32,79
Sud;Puglia;TA;D754;3;3,08
Sud;Campania;BN;D755;0;1
Sud;Campania;BN;D756;1;0
Sud;Abruzzo ;CH;D757;1;0
Nord Ovest;Liguria;SP;D758;5;5
Nord Ovest;Piemonte;AL;D759;2;0
Centro;Marche;AP;D760;2;0
Sud;Puglia;BR;D761;115,5;11,98
Sud;Calabria;VV;D762;0;0
Sud;Abruzzo ;CH;D763;214,32;33,43
Sud;Calabria;CS;D764;0;4
Isole;Sicilia;ME;D765;3,5;4
Sud;Basilicata;PZ;D766;3;4
Sud;Calabria;VV;D767;0;0
Isole;Sicilia;SR;D768;32,42;8,97
Sud;Campania;CE;D769;2;2
Nord Ovest;Piemonte;AL;D770;0,5;0
Nord Ovest;Lombardia;PV;D771;4,66;0
Centro;Lazio;RM;D773;203,68;35,38
Sud;Calabria;CS;D774;1;3
Nord Est;Veneto;RO;D776;9,13;1
Nord Ovest;Piemonte;AL;D777;2;0
Nord Ovest;Piemonte;AL;D780;9;2
Nord Ovest;Piemonte;TO;D781;3;7
Nord Ovest;Piemonte;CN;D782;4;1
Nord Est;Emilia-Romagna;MO;D783;8,75;15,67
Sud;Campania;BN;D784;0;0
Centro;Lazio;RI;D785;0;1
Centro;Umbria;PG;D786;75,82;11
Centro;Umbria;PG;D787;0,5;0
Nord Est;Veneto;RO;D788;9;1
Sud;Campania;NA;D789;70,25;15
Sud;Campania;NA;D790;26,64;10,36
Centro;Marche;PS;D791;0;1
Isole;Sicilia;ME;D793;0;1
Nord Est;Veneto;TV;D794;11;3,59
Sud;Abruzzo ;CH;D796;2;0
Nord Ovest;Piemonte;AL;D797;0;0
Sud;Campania;AV;D798;3,5;1
Sud;Campania;CE;D799;5;4,3
Sud;Campania;CE;D801;0;2
Nord Ovest;Piemonte;AT;D802;2;0
Sud;Abruzzo ;CH;D803;0;1
