AREA;Regione;prov;2011_CodCom;NTN 2011 fino a 50 mq;NTN 2011  50 -| 85 mq;NTN 2011  85 -| 115 mq;NTN 2011 115 -| 145 mq;NTN 2011 oltre 145 mq;NTN 2011
Nord Ovest;Liguria;GE;H258;2;3,75;2,48;1,98;0;10,21
Nord Ovest;Liguria;GE;H536;0;18,5;14,25;12,5;5;50,25
Nord Ovest;Liguria;GE;H546;0,67;0;1;0;0;1,67
Nord Ovest;Liguria;GE;H581;2;10,34;11,25;6;5;34,59
Nord Ovest;Liguria;GE;H599;9;5;4,5;0;2;20,5
Nord Ovest;Liguria;GE;H802;8,5;12,5;5,5;2;9;37,5
Nord Ovest;Liguria;GE;I225;10,99;54,16;29,92;11,25;16,75;123,07
Nord Ovest;Liguria;GE;I346;2;17,17;14,5;14,5;18,17;66,34
Nord Ovest;Liguria;GE;I368;13;9;2;3;1,5;28,5
Nord Ovest;Liguria;GE;I475;1;9,95;9,5;10;7,3;37,75
Nord Ovest;Liguria;GE;I640;4;23;23,76;15,03;9,41;75,2
Nord Ovest;Liguria;GE;I693;38,03;120,58;56,83;13,95;10,33;239,72
Nord Ovest;Liguria;GE;I852;8,5;12,5;5;8;5,5;39,5
Nord Ovest;Liguria;GE;L167;1;4,83;4;0;1;10,83
Nord Ovest;Liguria;GE;L298;10,17;16,5;14;7;5;52,67
Nord Ovest;Liguria;GE;L416;0,5;1;1,5;1;1,17;5,17
Nord Ovest;Liguria;GE;L507;0;9,75;10,5;5;2,5;27,75
Nord Ovest;Liguria;GE;L546;4;5,66;8;2;1;20,66
Nord Ovest;Liguria;GE;M105;2,17;7,51;2,84;0;0;12,52
Nord Ovest;Liguria;GE;M182;10,5;19,75;13,6;5,5;11;60,35
Nord Ovest;Liguria;IM;A111;5;4,17;3;1;0;13,17
Nord Ovest;Liguria;IM;A338;3;3;3;1;2;12
Nord Ovest;Liguria;IM;A344;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A418;0;0;0,5;0;0;0,5
Nord Ovest;Liguria;IM;A499;2;1,33;0,33;0;1;4,66
Nord Ovest;Liguria;IM;A536;6;7;3;0;0;16
Nord Ovest;Liguria;IM;A581;1;3,5;1;0;1;6,5
Nord Ovest;Liguria;IM;A984;30,83;94,91;37,5;12;4,5;179,74
Nord Ovest;Liguria;IM;A993;0;2;0;3;0;5
Nord Ovest;Liguria;IM;B020;5;3,5;4;1;5,5;19
Nord Ovest;Liguria;IM;B559;6;21;9;6;6,5;48,5
Nord Ovest;Liguria;IM;B734;0;0,08;0,52;0,5;0;1,1
Nord Ovest;Liguria;IM;B814;1;0;0;0;0;1
Nord Ovest;Liguria;IM;C110;3;3,5;1;1;0;8,5
Nord Ovest;Liguria;IM;C143;8;10;0;2;1;21
Nord Ovest;Liguria;IM;C511;13;12;1;0;1;27
Nord Ovest;Liguria;IM;C559;10;28,39;4;3;3;48,39
Nord Ovest;Liguria;IM;C578;0;2;1;0;2;5
Nord Ovest;Liguria;IM;C657;0;0,5;1;1;1;3,5
Nord Ovest;Liguria;IM;C660;1;0;0;1;1;3
Nord Ovest;Liguria;IM;C718;13,84;15;8;0,5;5;42,34
Nord Ovest;Liguria;IM;C755;6;3;2;1;1,5;13,5
Nord Ovest;Liguria;IM;D087;0,67;1;0;0;0;1,67
Nord Ovest;Liguria;IM;D114;6;7,5;2;0;1;16,5
Nord Ovest;Liguria;IM;D293;4;6,5;3;1;0;14,5
Nord Ovest;Liguria;IM;D296;33;12;2;0;3;50
Nord Ovest;Liguria;IM;D297;46;71,42;16,5;7,5;5;146,42
Nord Ovest;Liguria;IM;D298;4;8;1;7;3;23
Nord Ovest;Liguria;IM;D318;6;6,16;4,5;3,33;3;22,99
Nord Ovest;Liguria;IM;D319;10;6;11;4;5,5;36,5
Nord Ovest;Liguria;IM;E290;98,89;227,75;110,95;45,54;32,58;515,71
Nord Ovest;Liguria;IM;E346;1,5;3;5;0;0;9,5
Nord Ovest;Liguria;IM;E719;0;1;0;0;0;1
Nord Ovest;Liguria;IM;F123;5;7;0;0;1;13
Nord Ovest;Liguria;IM;F290;3;3;1;1;0,5;8,5
Nord Ovest;Liguria;IM;F406;3;3;1;2,5;1;10,5
Nord Ovest;Liguria;IM;F528;0;3;0;0;0;3
Nord Ovest;Liguria;IM;G041;2,33;1,65;0;1,33;0;5,31
